Kism (District),Sub-District (Neighborhood),Estimated Population,Relative Urban Activity
Bab Sharqi,Azarita,"18500",High
Bab Sharqi,Shatby,"22300",Very High
Bab Sharqi,Anfoushi,"12700",Medium
Bab Sharqi,Bahary,"14200",Medium
Bab Sharqi,El Mansheya,"24900",High
El Raml 1,Sporting,"31500",Very High
El Raml 1,Smouha,"28400",High
El Raml 1,Sidi Gaber,"26700",High
El Raml 1,Fleming,"17800",Medium
El Raml 1,Gianaclis,"15200",Medium
El Raml 2,Bolkly,"19600",Medium
El Raml 2,Louran,"21400",High
El Raml 2,Kafr Abdu,"16900",Medium
El Raml 2,Roshdy,"18300",Medium
El Raml 2,Glim,"14700",Low
Montaza 1,Sidi Bishr,"45200",Very High
Montaza 1,Miami,"38900",High
Montaza 1,Asafra,"29100",Medium
Montaza 1,El Mandara,"25800",Medium
Montaza 1,El Maamora,"17600",Low
Montaza 2,El Soyof,"23500",Medium
Montaza 2,El Maamora Beach,"12900",Low
Montaza 2,El Saraya,"13700",Low
Montaza 2,El Mandarah Bahary,"11800",Low
Montaza 2,El Mandarah Qebly,"13200",Low
Moharam Bek,Moharam Bek,"29700",High
Moharam Bek,El Hadrah Qebli,"15900",Medium
Moharam Bek,El Ibrahimiya,"18400",Medium
Moharam Bek,El Qabary,"16200",Low
Moharam Bek,Safar,"13800",Low
Karmoz,Karmoz,"22100",Medium
Karmoz,El Wardian,"19400",Medium
Karmoz,Souq Al Gomaa,"14600",Low
Karmoz,Souq Al Barsem,"13900",Low
El Atareen,El Atareen,"39200",High
El Atareen,Camp Chezar,"15700",Medium
El Atareen,El Labban,"43600",High
El Atareen,El Gomrok,"98100",Very High
El Atareen,El Mansheya Al Bahareya,"12800",Low
Mina El Basal,Mina El Basal,"26800",High
Mina El Basal,El Max,"13200",Low
Mina El Basal,El Dekheilah,"50200",High
Mina El Basal,El Qabary,"16200",Low
Mina El Basal,El Labban,"43600",High
Amreya 1,Amreya East,"21500",Medium
Amreya 1,Amreya West,"18700",Low
Amreya 1,Bahij,"12900",Low
Amreya 1,Abou Talat,"13400",Low
Amreya 2,Amreya 2,"29500",Medium
Amreya 2,Abou Zeira,"11800",Low
Amreya 2,Al Hawaria,"13200",Low
Amreya 2,Al Iraq,"12700",Low
Dekhela,Dekhela,"50200",High
Dekhela,Al Maks,"13800",Low
Dekhela,El Qabary,"16200",Low
Dekhela,El Labban,"43600",High
Sidi Gaber,Sidi Gaber,"26700",High
Sidi Gaber,Fleming,"17800",Medium
Sidi Gaber,Gianaclis,"15200",Medium
Sidi Gaber,Kafr Abdu,"16900",Medium
Sidi Gaber,Roshdy,"18300",Medium
Sidi Gaber,Glim,"14700",Low
Sidi Gaber,Bolkly,"19600",Medium
Sidi Gaber,Louran,"21400",High
Sidi Gaber,San Stefano,"13900",Low
Sidi Gaber,Zezenia,"15800",Medium
Sidi Gaber,Saba Pasha,"12600",Low
Sidi Gaber,Kafr Abdu,"16900",Medium
Sidi Gaber,Roshdy,"18300",Medium
Sidi Gaber,Glim,"14700",Low
Sidi Gaber,Bolkly,"19600",Medium
Sidi Gaber,Louran,"21400",High
Sidi Gaber,San Stefano,"13900",Low
Sidi Gaber,Zezenia,"15800",Medium
Sidi Gaber,Saba Pasha,"12600",Low
