name,latitude,longitude
bakery,31.225492,29.938648
جولدك حودة,31.204476,29.908682
حلواني برنيس,31.258739,29.984191
حلواني برنيس,31.258226,29.982295
هريسة أحمد حسنين,31.258211,29.980458
لابوار,31.253042,29.973137
مخبز,31.198559,29.930367
شهد الملكة,31.264029,29.996466
كلاسيك,31.26351,29.995511
حلواني طلعت,31.265729,29.997283
حلواني برنيس,31.249464,29.981927
مخبوزات قصر عابدين,31.242197,30.000409
,31.20492,29.908563
,31.204086,29.90793
,31.204186,29.908155
كيزر,31.118041,29.787856
,31.193683,29.891046
,31.189545,29.888041
,31.197414,29.897842
سعد زغلول,31.19837,29.898239
لوكس,31.199186,29.896067
,31.204717,29.905193
,31.26559,29.995361
,31.197218,29.890777
الأصدقاء,31.196759,29.891983
,31.20971,29.914655
,31.19953,29.901944
,31.207912,29.88135
,31.194927,29.914005
فرن عيش تموين,31.238609,30.00111
,,
Total Records,=COUNTA(A2:A31),
Avg Latitude,=AVERAGE(B2:B31),
Scraped At,2026-05-29,
