name,latitude,longitude
البنك الأهلي المصري,31.206813,29.911606
بنك فيصل الاسلامي المصري,31.224167,29.946326
البنك الاهلي المصري,31.223128,29.948543
Emirates NBD,31.198578,29.910863
ماكينة صرافة آلية,31.208378,29.9089
Banque Misr,31.205679,29.905237
Citibank,31.205738,29.905286
البنك الأهلي المصري,31.250035,29.975749
HSBC,31.237405,29.961395
بنك الاتحاد الوطنى,31.199107,29.910092
QNB,31.196826,29.903653
بنك عودة,31.23854,29.962025
البنك العربى الافريقى الدولى - فرع مبنى مجمع البترول,31.103668,29.864719
البنك العربى الافريقى الدولى - فرع الاسكندرية,31.198752,29.917796
بنك قطر الوطني الأهلي,31.198117,29.91726
Banque Misr,31.197547,29.904317
البنك العربى الافريقى الدولى - فرع سموحة,31.212685,29.939474
,31.246164,29.96614
CIB Louran Branch,31.243313,29.970047
مصرف أبو ظبي الإسلامي,31.246284,29.975857
بنك مصر - فرع لوران,31.246213,29.975667
CIB,31.229113,29.95371
CIB,31.225242,29.954905
ماكينة صرافة البنك الأهلي المصري,31.264603,29.998441
ماكينة صرافة البنك الأهلي المصري,31.250024,29.97548
بنك الإسكندرية,31.25916,29.982145
ماكينة صرافة البنك الأهلي المصري,31.255909,29.996465
البنك العربي العقاري المصري,31.242388,29.962569
بنك البركة - فرع ستانلي,31.236455,29.951038
ماكينة صرافة البنك الأهلي المصري,31.236444,29.950963
ماكينة صرافة البنك الاهلي المصري,31.200419,29.872684
ماكينة صرافة البنك الأهلي المصري,31.196361,29.863785
البنك الأهلي المصري - فرع السيوف,31.241389,29.997575
ماكينة صرافة آلية بنك الإسكندرية,31.249237,29.98096
ماكينة صرافة آلية البنك الأهلي المصري,31.212552,29.948372
,31.211926,29.947314
بنك فيصل الإسلامي المصري,31.273364,30.000947
البنك الأهلي المصري - فرع المنتزه,31.281136,30.011584
الأطباء للصرافة,31.255883,29.979907
,31.203838,29.885362
,31.238201,29.954749
بنك باركليز - مصر _ فرع لوران,31.24974,29.975507
بنك القاهرة - فرع لوران,31.248923,29.976358
البنك الاهلى المصرى,31.206453,29.882515
,31.206531,29.882491
CIB,31.244971,29.966415
Lloyds Class,31.200537,29.897253
,31.093751,29.731006
بنك الاسكندرية,31.238607,29.962574
البنك العربي الافريقي,31.240755,29.966008
بنك الكويت الوطني,31.240165,29.96552
بنك كريدي اجريكول,31.26952,29.998203
بنك مصر,31.104711,29.765989
الاهلي,31.103228,29.767367
,31.234851,29.950687
,31.213381,29.949912
البنك المصري لتنمية الصادرات,31.210176,29.936787
بنك عوده,31.214677,29.944936
CIB,31.213864,29.943458
البنك الأهلي المصري,31.213711,29.943046
البنك المصري الخليجي,31.211891,29.940015
HSBC,31.211978,29.939188
بنك قطر الوطني الأهلي,31.212205,29.939611
بنك الكويت الوطني,31.212166,29.939545
البنك الأهلي اليوناني,31.209428,29.935576
,31.261378,29.991293
,31.261315,29.991156
,31.25696,29.991419
,31.258029,29.987604
,31.208637,29.882491
,31.205037,29.877929
,31.238927,29.95387
,31.238967,29.95389
,31.268695,29.994867
بنك عودة,31.272517,30.004011
,31.272551,30.004023
بنك قطر الوطني الأهلي,31.23287,29.946604
,31.208698,29.913062
,31.256618,29.991934
,31.228595,29.947157
,31.226512,29.945162
البنك الأهلي المصري,31.223296,29.941808
البنك الأهلي المصري,31.229816,29.950072
بنك الإمارات دبي الوطني,31.230146,29.949738
البنك التجاري الدولي,31.229736,29.95015
بنك مصر,31.229102,29.951034
,31.220951,29.942342
,31.227132,29.945665
,31.222741,29.941989
بنك باركليز - مصر,31.229656,29.950226
البنك المصري لتنمية الصادرات,31.229923,29.950225
,31.241254,29.9976
,31.241389,29.997456
,31.241328,29.997456
,31.252914,29.975967
,31.253422,29.982482
الرياض للصرافة,31.24743,29.978211
بنك عودة,31.248245,29.968288
البنك الأهلي المصري,31.245128,29.973418
,31.261697,29.992681
بنك أبو ظبي الإسلامي,31.230872,29.949047
بنك فيصل الإسلامي المصري,31.247274,29.979324
,31.236682,29.952228
,31.243696,29.969225
,31.249889,29.975541
,31.245012,29.965407
,31.252859,29.976275
,31.211464,29.917628
بنك الإسكندرية,31.223457,29.948102
بنك قطر الوطني الأهلي,31.223559,29.94842
بنك قطر الوطني,31.239869,29.965216
بنك الاتحاد الوطني,31.256825,29.978792
,31.244988,29.97958
,31.245808,29.974446
بنك قطر الأهلي الوطني,31.246803,29.977148
,31.247313,29.96872
,30.932289,29.696081
,31.264612,29.996487
,31.26457,29.996532
,31.264649,29.99692
بنك قطر الوطني الأهلي,31.263717,29.995964
,31.261724,29.992722
,31.264852,29.997203
,31.265775,29.997245
,31.260718,29.991245
,31.262975,29.99566
الغربية,31.25709,29.980542
اتش اس بي سي,31.25549,29.977354
,31.238993,29.966099
,31.240797,29.991469
,31.239949,29.992575
بنك الإمارات دبي الوطني,31.272986,30.004742
,31.263526,29.991866
,31.210878,29.937946
,31.274485,30.005884
بنك مصر,31.239925,29.955792
البنك الأهلي المصري,31.239852,29.955641
بنك الإتحاد الوطني,31.169869,29.9349
,31.235186,29.967334
,31.199479,29.89318
,31.197609,29.893104
بنك مصر - فرع باكوس,31.234063,29.96268
البنك الأهلي المصري - فرع باكوس,31.233367,29.963377
,31.210445,29.913471
بنك مصر,31.206159,29.882543
,31.207935,29.909417
,31.198336,29.893422
بنك بلوم مصر,31.209711,29.91475
,31.206193,29.882674
بنك مصر - فرع السيوف,31.234386,29.992757
HSBC,31.251699,29.97408
,31.218213,29.933165
,31.215713,29.927898
,31.218197,29.93312
,31.219041,29.928032
,31.229701,29.954816
,31.03727,29.781856
,31.068536,29.822381
HSBC,31.226368,29.950415
hsbc bank لوران,31.251558,29.974206
,31.010889,29.832558
,31.198193,29.917196
بنك الإسكندرية,31.217882,29.931622
,31.219195,29.941189
,31.202443,29.918153
,31.234458,29.992827
البنك التجاري الدولي,31.206935,29.964469
البنك الأهلي المصري,31.20941,29.962326
بنك قناة السويس,31.225551,29.948528
,31.231219,29.95604
بنك كريدي أجريكول,31.236845,29.961423
البنك الأهلي المصري,31.240325,29.965824
,31.225231,29.993564
,31.193593,29.90445
Banque Misr,31.197338,29.898231
بنك الإسكندرية,31.195988,29.897721
,31.196063,29.89781
,31.200266,29.896773
,31.216806,29.945572
بنك الاتحاد الوطني,31.214313,29.944548
بنك قطر الوطني الأهلي,31.214885,29.944864
,31.246445,29.980201
,31.201103,29.900796
,31.215797,29.925182
,31.231471,29.958482
,31.22039,29.931114
,31.240431,29.965774
,31.23406,29.960339
EG Bank,31.238684,29.963285
بنك الإمارات دبي الوطني,31.237157,29.961655
,31.240402,29.992382
بنك بلوم مصر,31.197409,29.911523
البنك الأهلي الكويتي - مصر,31.197448,29.91169
,31.207965,29.909549
Abu Dhabi Islamic Bank - ADIB,31.213173,29.941751
,31.239031,30.001417
بك الأسكندرية,31.237288,29.957892
المصرف العربي الدولي,31.224638,29.953004
,31.248722,30.003945
محطة ترام الاوتيل,31.228816,29.95137
,31.261467,29.994196
QNB Alahli,31.198866,29.893676
بنك عَوده,31.200918,29.907851
Abu Dhabi Commercial Bank,31.198363,29.907695
بنك قطر الوطني الأهلي,31.201146,29.908299
المصرف المتحد,31.203938,29.906874
Bank ABC,31.200993,29.908061
المصرف المتحد,31.203948,29.906897
بنك القاهرة,31.204104,29.906813
QNB Alahli,31.196972,29.895322
بنك عَوده,31.200937,29.90782
HSBC,31.201112,29.908378
بنك مصر,31.20344,29.907039
HSBC,31.201174,29.908365
Alexbank,31.197087,29.898483
Bank ABC,31.201035,29.908041
Suez Canal Bank,31.198708,29.907785
البنك العربى الافريكى الدولى,31.20126,29.907272
البنك التجاري الدولي,31.201873,29.910418
بنك قطر الوطني الأهلي,31.201109,29.90826
,31.200789,29.914212
Banque Misr,31.196939,29.900692
بنك الإسكندرية,31.200381,29.900473
QNB,31.197598,29.90422
Attijariwafa,31.200641,29.907201
البنك العربى الافريكى الدولى,31.200746,29.906707
NBK,31.197281,29.904906
,31.207952,29.907893
,31.198257,29.895571
Ahli United Bank,31.261775,29.984369
,31.239993,29.965097
NBG Bank,31.200721,29.91379
,31.199866,29.909937
CIB,31.196455,29.902236
,31.201699,29.900931
Arab Investment Bank,31.19896,29.908765
Arab African International Bank,31.198835,29.908868
National Bank of Egypt,31.199892,29.896187
National Bank of Kuwait,31.200705,29.900088
The United Bank,31.202602,29.902486
,31.254612,29.992735
Arab African International Bank,31.227269,29.942273
,31.213987,29.919972
Banque Misr,31.215412,29.922429
QNB Alahli,31.198879,29.893622
Bank ABC,31.198687,29.893599
National Bank of Egypt,31.193815,29.911558
ADIB,31.19828,29.907526
,31.19985,29.906141
,31.203235,29.902619
Banque Misr,31.198596,29.920036
,31.212034,29.883187
CIB,31.206134,29.905698
Banque Du Claire - بنك القاهرة,31.242602,29.99227
NBE Bank ATM - ماكينة صراف آلي البنك الأهلي المصري,31.24369,29.994078
National Bank Of Egypt ATM - ماكينة صراف آلي البنك الأهلى المصري,31.246194,29.991294
CIB Bank ATM - ماكينة الصراف الآلي البنك التجاري الدولي,31.246157,29.991217
Bank Misr ATM - ماكينة الصراف الآلي بنك مصر,31.24618,29.991261
Faisal Bank ATM - ماكينة الصراف الآلي بنك فيصل الإسلامي,31.246204,29.991325
Bank Misr - بنك مصر,31.246016,29.990952
QNB Bank - البنك القطري الأهلي,31.245884,29.990521
National Bank Of Egypt ATM - ماكينة صراف آلي البنك الأهلى المصري,31.245495,29.989462
