name,latitude,longitude
Maspiro,31.226947,29.939011
Carlos Café,31.225735,29.93713
Mocca,31.218042,29.948342
,31.216565,29.947387
Cafe FAROS,31.207246,29.883121
El Kobissi King of Mango & Strawberry,31.201763,29.887849
La'CASA,31.202962,29.886232
Shahrzad Cafe,31.200633,29.897649
هاريس كافيه,31.006383,29.638393
نور كافيه,31.199248,29.917866
همبكة كافيه,31.198951,29.917583
Leila,31.224011,29.956066
Teatro Eskendria,31.196183,29.902989
السمان,31.203812,29.885495
قهوة فاروق,31.203441,29.88504
Costa,31.235677,29.950343
007 Coffee Shop,31.234002,29.948826
MGnet Internet cafe,31.199205,29.897007
قصر القويري,31.106097,29.764616
قهوة محمد علي,31.240573,29.992165
كيخة كوفي,31.231718,29.955406
كيلو 21 اكتوبر,31.081689,29.740253
كافتيريا ساعة صفا,31.207237,29.879183
مقهى الفيشاوي,31.204032,29.876289
مقهى ابو رامي,31.266719,29.989458
ابو شوشه,31.257124,29.981
فريسكا كافيه,31.257203,29.980882
قصر الفيشاوي,31.254735,29.984513
مقهى جمال معوض,31.172531,29.881658
برشلونة,31.199635,29.898505
بح بح,31.252953,29.984042
قهوة افندينا,31.248442,29.980329
مقهى ألف ليلة وليلة,31.270471,29.99634
جراند بدوية,31.126451,29.781804
سلطانة ميامي,31.273098,30.000523
,31.17992,29.894315
قهوة ابن حميدو,31.248734,29.980781
كافيه أسوان,31.194738,29.897667
كافيه أسوان,31.194592,29.897741
كافيتيريا أبو هندي,31.242401,30.00242
كافيتريا دهب,31.238594,30.001924
السكرية كافيه,31.239195,30.001406
Délices,31.200051,29.899765
Brazilian Coffee Stores,31.204394,29.906705
Brazilian Coffee Stores,31.199756,29.899435
كافيه سمارة,31.241401,30.00328
كافيتيريا حكاية,31.238331,30.002129
بورصة أبناء سوهاج,31.240667,30.003919
كافيتريا الزعيري,31.238523,30.005714
كافيتيريا روعة,31.239954,30.004507
كافيه از روما,31.242055,30.002707
كافيتيريا جمال عبد الناصر,31.239591,30.005048
كافيتريا أبو مالك,31.239239,30.005136
السنان كوفي شوب,31.239112,30.005261
كافيتيتريا المحروسة,31.243733,30.001455
كافيتيريا عروس النيل,31.243707,30.001268
كافيتيريا البرنس,31.240818,29.993368
Wave Cafe,31.224777,29.934858
كافيتيريا البشوات,31.241996,30.002937
كافيتيريا الرحايا,31.239196,30.001213
كافيه الواحة,31.239683,30.001042
كافيتيريا برشلونة,31.240993,29.998105
كافيتيريا أفندينا,31.241463,29.998107
كوفي تشينو,31.239948,29.997504
كافيتريا فينيسيا,31.240316,29.997498
كافيتريا سهر الليالي,31.237395,29.999263
المحروسة كافيه,31.233467,29.999428
الشاذلي كافيه,31.250588,29.984153
كافيتيريا الساهر,31.250658,29.984274
كافيتريا السعادة,31.237594,30.002568
علي كافيه,31.23876,30.001616
كافيتيريا عالم الروم,31.237525,30.000633
Emoji Cafe,31.238183,29.998099
ليالي كافيه,31.250034,29.981203
قهوتي,31.242481,30.0044
كوكب الشرق كوفي شوب,31.245855,30.00114
كافيتريا,31.236176,29.992666
قبطان كافيه,31.237183,30.002932
أليكس كافيه,31.236441,30.003579
كافيتريا الحسن والحسين,31.237007,30.003097
Costa,31.200089,29.912111
Trianon,31.200762,29.900493
الليبي كافيه,31.257685,29.982238
Mr Mix,31.247151,29.974914
,31.203782,29.907778
,31.203982,29.907721
قهوة خفاجي,31.16764,29.86883
,31.194126,29.900556
قهوة خير زمان,31.119032,29.789287
قهوة كابوريا,31.117345,29.786544
,31.200246,29.8956
,31.199839,29.895367
Cilantro,31.238387,29.961828
Cilantro,31.244903,29.967197
Cilantro,31.208534,29.90762
Potasta,31.19661,29.902246
الحسين,31.2367,29.968925
الحُسين,31.236687,29.968937
كافي الورة البيضاء العصافره,31.275148,30.002621
El Fallah Restaurant,31.196805,29.893641
,31.196719,29.893949
,31.1954,29.8928
,31.198376,29.896335
,31.198644,29.896391
,31.199685,29.897105
,31.193618,29.892267
Alessandra Coffee,31.199943,29.911254
,31.191748,29.889918
Ecuador Coffee,31.199843,29.911024
,31.191496,29.888482
,31.194771,29.887399
,31.199125,29.895762
,31.198792,29.895496
,31.196494,29.901051
,31.19989,29.896413
Athineos,31.202069,29.901059
,31.200356,29.900722
,31.198404,29.903528
Café de la Paix,31.202684,29.901983
كافيتريا المدينة,31.199452,29.897876
قصر الفيشاوى,31.199579,29.897796
The Chocolate Factory,31.198171,29.907232
,31.203086,29.907761
,31.201215,29.901997
Aswan,31.199059,29.89724
,31.193545,29.897748
,31.193342,29.898298
حباتر,31.199334,29.897478
بالكونات كافيه,31.247074,29.967096
Triplo C,31.227523,29.942716
Malibu,31.221296,29.930434
Chelsea Cafe,31.264244,29.989542
فيكا,31.19748,29.898017
,31.198126,29.900846
,31.198514,29.894154
الصفوة,31.19909,29.896514
,31.199277,29.895542
,31.19874,29.894253
ليل,31.202026,29.903477
الفيشاوى,31.200438,29.901761
Diab,31.197387,29.902539
أندريه,31.197178,29.902558
Cavalli,31.197578,29.903962
شيكوريل,31.199279,29.898792
,31.198878,29.897735
بوفيه مصر,31.201252,29.901352
Pick’N Go,31.198864,29.908947
,31.199098,29.898283
,31.197199,29.897743
الأدهم,31.237023,29.968693
سلطنة صفر,31.236552,29.969316
بينو,31.237955,29.967292
ستاربكس,31.203468,29.902923
,31.199905,29.895719
Soula,31.210267,29.913819
سلسلة,31.210902,29.912411
,31.197118,29.902769
,31.197453,29.900154
عمر الخيام,31.202149,29.901716
ابو علاء,31.202516,29.909721
Lava,31.197088,29.903174
,31.203734,29.909582
الحمبالي,31.198248,29.904188
,31.199755,29.897776
La Poire,31.208274,29.90915
Napoli,31.212811,29.917931
مقهى روبوستا,31.196962,29.905614
Smile Cafe,31.212502,29.943704
ستاربكس,31.245502,29.965833
القهوة اليونانية,31.199527,29.898059
كافيه بودابست,31.269881,29.994101
Circle K,31.176584,29.916723
السوده,31.174693,29.876784
Tahwiga,31.205718,29.907121
Croissant D’Alexia,31.201016,29.907748
,31.197654,29.896735
سلطنة كافية,31.264555,30.004728
كافية المدينة المنورة,31.199495,29.89799
الفيشاوى,31.199289,29.897294
,31.106607,29.762924
الملكى,31.199773,29.898453
Chi Chi,31.232947,29.948442
,31.199294,29.898206
,31.201564,29.902173
,31.19946,29.902607
Alfy`s,31.200124,29.902276
,31.19851,29.892756
البان وادى النيل,31.198516,29.894303
,31.196947,29.890919
,31.194982,29.890599
,31.194801,29.891271
أولاد ظاظا,31.195241,29.890413
,31.194655,29.888267
Kaffeine,31.209645,29.914525
Ecuador Coffee,31.205389,29.904934
Cafe Express,31.207785,29.926062
أولاد ضيف,31.196942,29.896981
,31.219861,29.942595
بورصة المحطة,31.220156,29.941975
,31.217952,29.941999
,31.217568,29.942405
رياحين,31.211038,29.939809
Günaydın,31.227009,29.942516
,31.222435,29.936883
,31.220576,29.93091
,31.212617,29.917659
,31.199152,29.892818
,31.198354,29.894679
,31.19954,29.891595
,31.20343,29.883923
,31.199662,29.891969
Sofianopoulo,31.197851,29.895921
روما,31.202406,29.878523
,31.207802,29.881172
,31.207404,29.88134
,31.192236,29.905764
,31.191271,29.903954
,31.194961,29.914205
قدم الخير,31.210745,29.914257
,31.191548,29.90503
,31.195681,29.914826
الحسن,31.191912,29.909503
City Cafe,31.195504,29.913452
,31.192029,29.905619
,31.191435,29.90459
بطاطى,31.191793,29.90834
,31.199167,29.898242
The Chocolate Factory,31.199311,29.906795
٦ اكتوبر,31.209789,29.881787
,31.200177,29.895
,31.214595,29.921059
,31.202394,29.901569
Ecuador Coffee,31.233554,29.94864
,31.205787,29.908681
,31.205548,29.909143
,31.204076,29.910283
السلطان,31.199987,29.905419
Zarda,31.228085,29.944771
Pick'N Go,31.228016,29.944943
The Alexandria Deli,31.224727,29.95205
