Alexandria Education Centers — SmartCityAnalyzer,,,,,,
name,type,edu_level,latitude,longitude,operator,capacity
الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري,University,,31.265473,29.99823,,
كلية الصيدلة,College,,31.201357,29.906851,,
مركز تدريب الرأس السوداء,Educational Institution,,31.244457,29.988109,,
كلية الطب,College,,31.203157,29.906273,,
كليه الطب البيطري,College,,31.166616,29.963774,,
SV for Surveying Services,Educational Institution,,31.203553,29.907847,,
اهلا مصر للانشطة الثقافية,Language School,,31.199869,29.895382,,
Kaumeya Language School,Language School,,31.199863,29.906723,,
Institute of Oceanography and Fisheries,University,,31.210398,29.881893,,
University of Alexandria Faculty-Members club,University,,31.207446,29.921785,,
جامعة الإسكندرية، كلية العلوم,University,,31.2051,29.922358,,
كلية العلوم,University,,31.207399,29.91904,,
كلية الزراعة,University,,31.205851,29.91969,,
كلية الزراعة,University,,31.204244,29.918939,,
جامعة الإسكندرية، مركز العلوم النظرية,University,,31.207265,29.910471,,
جامعة الإسكندرية، المجمع الطبي,University,,31.20231,29.905432,,
كلية العلوم,University,,31.189658,29.907837,,
كلية التجارة,University,,31.206821,29.910782,,
Faculty of Commerce,University,,31.206838,29.911275,,
,University,,31.207254,29.908986,,
كلية الحقوق,University,,31.206678,29.909917,,
,University,,31.206951,29.909263,,
National Institute of Oceanography and Fisheries,University,,31.212345,29.884301,,
جامعة الإسكندرية,University,,31.210452,29.913133,,
كلية الفنون الجميلة,College,,31.240927,29.961669,,
كلية التربية,College,,31.20716,29.912047,,
كلية الأداب,University,,31.20776,29.911806,,
المعاهد العليا بكنج مريوط,College,,31.024401,29.775613,,
Faculty of Physical Education,University,,31.306472,30.060962,,
المعهــد العـالي للسـياحة والفنــادق وترميم الآثـار بأبي قـــير بالإسكندريـة,University,,31.305863,30.06398,,
جامعة فاروس بالإسكندرية,University,,31.205917,29.959631,,
Faculty of Fine arts,University,,31.240957,29.961663,,
Fine arts Architecture and Sculpture department,University,,31.241074,29.961982,Alexandria University,
Air Defense Academy,University,,31.272531,30.105093,,
,Educational Institution,,31.222435,29.992187,,
,Educational Institution,,31.22131,29.991865,,
,Educational Institution,,31.220664,29.991783,,
,Educational Institution,,31.221905,29.992036,,
,,,,,,
Total Records,=COUNTA(A3:A40),,,,,
Scraped At,2026-05-15,,,,,
Source,OpenStreetMap / Overpass API,,,,,
