name,latitude,longitude
مستشفى ماري مرقص,31.263625,29.991768
Mostafa Kamel Hospital,31.225827,29.940808
صيدليه كريمه المراسي,31.185918,29.931625
معهد البحوث الطبيه,31.20529,29.927572
مستشفي المواساه,31.204391,29.928684
صيدلية خليل,31.255827,29.985026
صيدليه د. أمنيه عنتر,31.187325,29.930394
آجزخانة د عبد الناصر خليل,30.981508,29.578252
مستشفى شرق المدينة,31.262009,29.992335
,31.226229,29.952328
Saint Geni,31.224531,29.952522
مستشفى إبراهيم عبيد التخصصي,31.237637,29.958088
Mahmoud Nour Eldin,31.133093,30.133942
Taj Dental clinic,31.243611,29.969057
مستشفى مركز القلب الدولي icc,31.216874,29.942285
مستشفى الانبا تكلا التخصصى,31.210927,29.926518
مستشفى النزهة للقلب والعناية المركزة,31.194988,29.916807
Hadyclinic for Plastic Surgery and Burn,31.230816,29.949214
خليل,31.212255,29.939664
مستشفى المدينة للمرأة,31.210307,29.938555
مركز الصفوة للعيون,31.21239,29.940695
الهيئة العامة للتأمين الصحي,31.233713,29.952065
مستشفى النقراشي,31.208349,29.88152
مستشفى بدراوى,31.216858,29.941556
صيدلية دكتور فؤاد القرنشاوي,31.256319,29.986725
صيدلية البسمة,31.257669,29.98129
صيدلية د. سعيد السيد اسماعيل,31.25588,29.984016
صيدلية الزراني,31.256469,29.985907
صيدلية بخيت,31.247381,29.978141
صيدلية الإقبال,31.248578,29.976447
,31.257719,29.987976
صيدلية بخيت,31.222884,29.948819
صيدلية خليل,31.224583,29.947239
صيدلية رشدي,31.226667,29.950128
صيدلية نيو جوانيدس,31.227596,29.951654
صيدلية العامرية,31.018725,29.800819
مستشفى الشرطه,31.174312,29.930021
صيدليات دوائي,31.262395,29.994056
مستشفى المدينة المنورة,31.263098,29.995198
صيدلية خليل,31.265753,29.997262
وحدة صحة الاسرة بسيدي بشر بحري - منطقة المنتزه الطبية,31.260761,29.991244
محمد مصطفى المراغي,31.24782,29.969694
ASM E.2,31.201773,29.904154
دكتور ياسر يحيي,31.214275,29.945335
الوحدة الصحية أبيس 7,31.148456,29.955702
صيدلية جميلة بو حريد,31.240333,29.992682
صيدلية عبد العزيز,31.241274,29.997893
عيادات زهراء السيوف التخصصية,31.24128,29.998011
عيادات السلامة التخصصية,31.241917,29.999977
صيدلية العزبي,31.239725,29.965348
عيادة د سامح فتحي,31.210002,29.931248
,31.179846,29.894364
صيدلية د. مدحت بكر,31.272231,30.003703
صيدلية د. أشرف أبو الوفا,31.242783,30.002107
صيدلية د. عمرو محمد حسن,31.241429,30.000937
صيدلية د. محمد حسن,31.239501,30.002916
صيدلية الجندي,31.238863,30.002108
صيدلية الشاذلي,31.235925,29.999674
صيدلية د. اسلام السحار,31.24193,30.002996
صيدلية د. ناصف الساعدي,31.241105,30.003529
صيدلية د. أحمد فايد,31.238947,30.001449
صيدلية د. علي المتبولي,31.240043,29.993465
الجمعية الشرعية,31.239707,29.993327
صيدلية د. حسام محمد عبد الهادي,31.240206,30.002534
عيادة المنشية للتأمين على الطلاب والمواليد - منطقة وسط الطبية,31.196765,29.8938
صيدلية الفتح,31.232986,29.963512
مستشفى الفتح,31.234307,29.963945
صيدلية هند الطيبي,31.234612,29.963467
مستشفى البترول,31.234528,29.962657
صيدلية د. محمد دسوقي خلف,31.240604,30.000899
صيدلية د. نسرين إسماعيل,31.241735,30.001705
د. مصطفى سلامة,31.218222,29.936648
صيدلية د. شيماء طلعت,31.241211,29.999888
صيدلية د. ريهام غانم,31.241744,30.000423
صيدلية د. كمال محيي الدين,31.217427,29.930849
صيدلية د. يسري عبد المجيد,31.216995,29.930134
صيدلية عبد الرحمن,31.218168,29.937846
صيدلية الهلال,31.217614,29.938673
صيدلية الحسن,31.250308,29.975043
صيدلية د. مروة ممدوح,31.242971,29.999451
صيدلية د. ميشيل ذكري,31.238132,30.002291
مستشفى البدراوي ٢,31.255354,29.98502
صيدليات د. سمر مصطفى حسن,31.251355,29.984399
صحة فلمنج,31.244694,29.966142
صيدلية د. إيمان يسري,31.237078,29.999982
صيدلية د. محمد بيومي,31.237151,30.002174
صيدلية رعاية,31.252591,29.986285
صيدلية الجمل,31.249318,29.98103
صيدليات د. أسامة الطيبي,31.222243,29.93284
مستشفى فكتوريا,31.243936,29.982185
مستوصف لواء الإسلام,31.244282,29.983127
مستشفى لواء الإسلام,31.244227,29.986774
صيدلية د. ماجدة فهيم,31.239368,29.978088
مستشفى طلبة جامعة الإسكندرية,31.202813,29.919983
مركز عناية الطبي,31.239826,30.000671
عيادات الأندلس الحديثة التخصصية,31.23892,30.001633
مستشفى سيدي جابر التخصصي,31.219401,29.941486
صيدلية د. إسماعيل,31.242442,30.0007
صيدلية الجندي,31.238779,30.002502
مسجد أبو الصديق,31.240279,30.001009
عيادات الحسن التخصصية,31.24163,30.00309
وحدة صحة الأسرة - دربالة,31.250833,29.984435
صيدلية نهال,31.253705,29.983975
صيدلية عمر,31.23988,30.004562
صيدلية د. شيرين كمال,31.240416,30.000754
صيدلية د. سوزان علي,31.244293,30.002817
صيدلية د. غادة أحمد سمير,31.243463,30.003308
صيدلية د. نصر كمال,31.238712,29.999215
Ahmed Maher Hospital,31.1911,29.902988
صيدلية د. دينا عبد الله,31.240649,30.004458
صيدليات عفيفي,31.250682,29.981622
صيدلية أم المؤمنين,31.252442,29.983379
صيدلية زيتون,31.239151,29.996055
صيدلية سراييفو,31.240356,29.996049
صيدلية د. ماريانا,31.243462,30.001681
صيدلية د. عبد الحميد الجمل,31.24181,29.99981
صيدلية أبو العيش,31.241114,29.995849
صيدلية د. عبد الحكيم,31.22135,29.944124
صيدلية د. سامح ماهر,31.243072,30.00034
عيادات فور كيدز لطب الأطفال,31.239903,29.999358
صيدلية د. أبو الوفا محيي,31.238065,30.001354
صيدلية د. ليلى يوسف,31.235895,30.002689
صيدلية د. محمد حمدي وافي,31.241419,30.000455
صيدلية د. أحمد عاطف حسنين,31.237049,30.003835
صيدلية العزبي,31.206873,29.964494
الهلال الأحمر المصري - فرع الإسكندرية - باكوس,31.232081,29.970369
صيدليات د. أسامة الطيبي,31.242348,29.968864
صيدلية د. علي أبو المعاطي,31.243448,30.004741
صيدلية خليل,31.241179,29.967178
مستشفى لوران,31.247892,29.973631
صيدلية د. سهام الغمراوي,31.244583,30.000453
مستشفى سموحة الدولي,31.208315,29.934818
مركز صحة الأسرة بسموحة,31.207039,29.938211
د. سامر فرج ظريف - طبيب وجراح الفم والأسنان,31.237887,29.98386
صيدليات د. أسامة الطيبي,31.198966,29.898954
صيدلية سعد زغلول,31.199621,29.899341
صيدلية د. دعاء يس,31.243887,30.005696
صيدلية أبو زيادة,31.240408,29.965758
صيدلية عبد الله الجديدة,31.255339,29.979176
صيدلية الغالي,31.256101,29.980095
صيدلية د. سلوى سليمان,31.254987,29.982138
صيدلية عبد العال,31.238647,30.003678
مستشفى الإقبال,31.251513,29.975378
صيدلية,31.251188,29.97536
صيدلية د. أحمد حلمي الشعراوي,31.2455,30.004477
مستشفى زمزم,31.195217,29.912587
د. محمد شفيق شاهين,31.219789,29.932696
وحدة صحة أسرة دنا الجديدة (الوطنية) - منطقة شرق الطبية,31.229702,29.991486
صيدلية د. ريهام عبد المحسن,31.242646,30.003416
مستشفى سهلا الجديدة,31.191064,29.908555
صيدلية د. عماد حمزة,31.243437,29.99942
صيدلية الأسرة,31.2377,29.982342
صيدلية د. سمير شوقي,31.23926,29.983354
صيدلية الخشاب,31.238282,29.986628
دكتور ممدوح حسين لطب الاطفال,31.207261,29.953145
Jamalek Skin Center Smouha,31.215415,29.944767
مستشفي اسكندرية الدولي,31.215837,29.941974
,31.20439,29.907767
,31.20422,29.90771
,31.204968,29.908691
صيدلية د. محمد جمال علي,31.241355,30.002388
