name,latitude,longitude
المتروبول,31.200794,29.90032
شيراتون المنتزه,31.281392,30.011043
Paradise Inn,31.288771,30.024714
Egypt Hotel,31.202267,29.901401
Fouad Hotel,31.202215,29.901444
Karnak Hotel,31.204845,29.904501
Paradise Inn Windsor Palace,31.20047,29.896884
فندق يونيون,31.200545,29.89769
Hilton Alexandria Green Plaza,31.206636,29.965397
Hilton Alexandria King's Ranch,30.982354,29.692776
فندق المحروسة,31.253903,29.974173
سان جيوفاني,31.234018,29.947792
فندق سيستا محرم بك,31.182509,29.925962
منزل المرحوم صابر عبده امام,31.16634,29.868101
منزل احمد صابر عبده امام ليموزين توب كار,31.163459,29.870771
Alexander the great hotel,31.19488,29.895882
Hôtel Normandie,31.200628,29.898099
Acropole Hotel,31.200297,29.898703
منزل المرحومة ساميه,31.251335,29.99074
Sumed 3,31.209279,29.95811
مسجد الاسراء,31.242966,29.976323
Suez Channel Hotel,31.199327,29.894746
شارع قصر رأس التين - أمام حلقة الأسماك,31.209969,29.880446
ترانزيت,31.200325,29.898528
Alexandria Youth Hostel,31.210985,29.916674
فندق النصر,31.200282,29.898242
الاكاديمية البحرية بالإسكندرية,31.307698,30.063886
مبني د بالاكاديمية,31.308011,30.064826
صبحي,31.144037,30.107754
المعمورة بالاس,31.287887,30.02558
الابراهيمية,31.210413,29.931404
,31.210834,29.931846
Crillon Hotel,31.20053,29.897341
Eatabe Alexandria Hotel,31.236672,29.952911
شقة محمد عادل,31.274734,30.017487
بيت الرشايدة.,31.168788,29.880992
الوزير,31.194045,29.91862
Adham Hotel,31.022934,29.771874
,31.112839,29.788281
م. فياض اسكندرية,31.278434,30.01158
Royal jewel AL raml,31.202454,29.903259
فندق سمير اميس,31.201903,29.900774
توليب الاسكندريه,31.231373,29.946654
مزين الاسكندريه,31.235482,29.955049
Queen Cleopatra,31.224376,29.935426
فندق دلتا,31.204087,29.906852
Cherry Maryski,31.198379,29.895694
Suez Canal Hotel,31.198887,29.895508
المغربى,31.198465,29.895412
Misr,31.202263,29.902938
فندق مكة,31.216246,29.923769
Nile Excellesiour Hotel,31.199213,29.895551
فندق عبير,31.200245,29.896002
الحاج كمال احمد,31.2621,30.000091
Adel,31.245946,29.971303
,31.200262,29.896261
Clement’s House Hotel,31.199905,29.899572
شقة صالح عادل,30.905159,30.181233
يت مارمينا المندره,31.274042,30.00156
موقف المسيري,30.984589,29.975866
ايجبتوس ڤيلا هوستل,31.224982,29.951594
New Capry Hotel,31.199773,29.898954
Miramar,31.213952,29.919956
Holiday Hotel,31.198707,29.89286
Marhaba,31.199237,29.893019
Hotel Ramsis,31.205287,29.904968
Four Seasons,31.245737,29.966175
شارع كامل جمعة شاهين,31.14565,30.111009
Elites1 Guesthouse,31.229008,29.955853
Ashraqat Roshdy,31.232291,29.952402
فندق جيويل,31.290671,30.034312
شارع 1,31.287682,30.026268
شتيجنبرجر سيسيل الإسكندرية,31.20071,29.89843
نادي لاجون,31.171201,29.935876
Hilton Alexandria Corniche,31.26164,29.983592
فندق المحروسة,31.253875,29.974247
Tolip Alexandria Hotel,31.231717,29.946126
Smoha Zahran Haus (7th floor),31.209718,29.947036
Amoun Hotel,31.19873,29.887945
,31.05755,29.718546
,31.281388,30.011254
Sheraton Montazah hotel,31.281358,30.011378
Ithaka,31.200191,29.895585
فندق هيلنان أنطونيادس بالاس,31.203357,29.950158
,31.291686,30.036039
,31.291951,30.036092
,31.291949,30.036643
,31.292366,30.036209
منتجع بالم إن,31.286588,30.011188
Deutsches Seemannsheim,31.198445,29.920417
فندق ميديترينيان أزور,31.233554,29.945403
جولدن جويل مصطفى كامل,31.229088,29.940983
منتجع بالم إن,31.286328,30.011487
فندق هيلنين فلسطين,31.288342,30.017857
,,
Total Records,=COUNTA(A2:A95),
Avg Latitude,=AVERAGE(B2:B95),
Scraped At,2026-05-28,
