name,address,phone,source_file,web_scraper_start_url
Dr. Osama El Tayeby Pharmacies El Seyouf Branch,"alexandria, el seyoufAll Branchesamin hasouna st., intersection of mostafa kamel st. - inside city light mall, shop 9",3.5301103035301104e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Bahary Branch,"alexandria, baharyAll Branches96 el sayed mohamed karim st. - behind kadoura fish restaurant",3.4841523034841732e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies El Mandara Branch,"alexandria, el mandaraAll Branches728 el guish rd. - near to cook door",3.5553412035553456e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Semouha Branch,"alexandria, semouhaAll Branches1 hilton st. - near to green plaza mall",3.429158003429157e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Wingatt Branch,"alexandria, wingattAll Branches21 mohamed farid st., el qasr el malakey tower - in front of b.tech for appliances",3.5242499010300063e+18,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Raml Station Branch,"alexandria, raml stationAll Branches41 saad zaghloul st. - in front of city plaza for clothes",3.4809974034809948e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
El Kady Pharmacy El Mandara Branch,"alexandria, el mandaraAll Branchesel nabawy el mohandes st. - in front of el salam mosque",33221808.0,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Ganaklis Branch,"alexandria, ganaklisAll Branches, home delivery -",16840.0,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies El Hadara Branch,"alexandria, el hadaraAll Branchesgalal el desouqy st., intersection of ibn el malaeb st. -",16840.0,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
El Esaaf Pharmacy,"alexandria, el mansheya155 el sayed mohamed korayem st. - in front of the full court",,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Sidi Gaber Branch,"alexandria, sidi gaberAll Branches299 port said st. - beside b.tech for appliances",3.523467403523498e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Miami Branch,"alexandria, miamiAll Branches11 iskandar ibrahim st. - beside el maeda el demashqeya restaurant",3.5532253010233124e+18,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Seif Pharmacies El Ibrahimeya Branch,"alexandria, el ibrahimeyaAll Branches9 la guitaih st. - in front of sidi aly el sammak hospital",3.5923634035931816e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Sporting Branch,"alexandria, sportingAll Branches261 el horreya rd. -",16840.0,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Khalil Pharmacy Raml Station Branch,"alexandria, raml stationAll Branches29 el ghorfa el togareya st. - in front of chamber of commerce - alexandria",3.480671001203e+18,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Khalil Pharmacy Moharram Bey Branch,"alexandria, moharram beyAll Branches358 canal el mahmoudeya rd. -",3.3955077012108836e+18,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Maher Pharmacy Semouha Branch,"alexandria, semouhaAll Branchesmohamed zahran st. - in front of mohamed zahran school",3.4202191034205132e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Victoria Branch,"alexandria, victoriaAll Branches24 el galaa st. -",3.5757739035757736e+16,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Khalil Pharmacy Glim Branch,"alexandria, glimAll Branches88 abdel salam aref st. -",3.5821998012784476e+18,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Bakoos Branch,"alexandria, bakoosAll Branches86 el fath st. -",16840.0,egyfinder page 1,https://egyfinder.net/categories/en/pharmacies/alexandria
Dr. Osama El Tayeby Pharmacies Agami Branch,"alexandria, agamiAll Branches66 el bitash st. -",3.4391346034391344e+16,egyfinder page 2,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2
Khalil Pharmacy Zezenia Branch,"alexandria, zezeniaAll Branches617 el horreya rd. - beside yehia mosque",3.5766667035757572e+16,egyfinder page 2,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2
