area(m²),rent(EGP),location_en
50,5500,Alexandria / 45 Street
90,7000,Alexandria / 6 October St.
650,220000,Alexandria / Abd El-Salam Aref St
200,65000,Alexandria / Abd El-Salam Aref St
300,120000,Alexandria / Abdel Salam Aref St.
800,35000,Alexandria / Abis
350,25000,Alexandria / Abis
52,6000,Alexandria / Abou El-Arab St.
160,85000,Alexandria / Abou Quer St - El Horeya Rd
100,20000,Alexandria / Abou Quer St - El Horeya Rd
240,20000,Alexandria / Abou Quer St - El Horeya Rd
160,16000,Alexandria / Abou Quer St - El Horeya Rd
325,40000,Alexandria / Abu Yusuf
50,2000,Alexandria / Abu Yusuf
90,7000,Alexandria / Abu Yusuf
825,412500,Alexandria / Ademon Fremon St.
50,5000,Alexandria / Ahmed Abo Soliman St.
120,6000,Alexandria / Ain Shams St.
60,7000,Alexandria / Akl Basha St
70,7000,Alexandria / Al Aeda Al Kadema St
100,5500,Alexandria / Al Agamy
100,12000,Alexandria / Al Agamy
50,2000,Alexandria / Al Agamy
150,17000,Alexandria / Al Asafra Bahri
60,3250,Alexandria / Al Asafra Bahri
70,10000,Alexandria / Al Asafra Bahri
200,20000,Alexandria / Al Asafra Bahri
230,13000,Alexandria / Al Asafra Bahri
240,100000,Alexandria / Al Asafra Bahri
65,10500,Alexandria / Al Asafra Bahri
80,5000,Alexandria / Al Asafra Bahri
110,13000,Alexandria / Al Asafra Bahri
60,8000,Alexandria / Al Asafra Qebli
55,9000,Alexandria / Al Asafra Qebli
100,8000,Alexandria / Al Kaada St
100,11000,Alexandria / Al Kaada St
65,4500,Alexandria / Al Mamourah Al Shateea
56,25000,Alexandria / Al Moaaskar Al Romani St.
185,150000,Alexandria / Al Moaaskar Al Romani St.
85,8500,Alexandria / Al Mohammedeya St.
110,25000,Alexandria / Al Nakib Sharif Ramzi St
65,20000,Alexandria / Al Nakib Sharif Ramzi St
55,7000,Alexandria / Al Samalehy 1 St
65,15000,Alexandria / Asafra Bahary
250,35000,Alexandria / Asafra Bahary
85,35000,Alexandria / Asafra Bahary
180,15000,Alexandria / Atlas St.
80,35000,Alexandria / Atlas St.
365,25000,Alexandria / Atlas St.
85,3000,Alexandria / Bakoos
600,100000,Alexandria / Bakoos
700,95000,Alexandria / Bakoos
80,6000,Alexandria / Bakoos
130,15000,Alexandria / Bakoos
60,5000,Alexandria / Bakoos
670,100000,Alexandria / Bakoos
75,6500,Alexandria / Bakoos
180,20000,Alexandria / Bianchi
50,6500,Alexandria / Bianchi
50,7500,Alexandria / Bianchi
62,32000,Alexandria / Bolekly
65,7500,Alexandria / Bolekly
209,80000,Alexandria / Bolekly
4600,350000,Alexandria / Borg El Arab
4500,400000,Alexandria / Borg El Arab
480,35000,Alexandria / Borg El Arab
5000,280000,Alexandria / Borg El Arab
800,60000,Alexandria / Borg El Arab
2500,470000,Alexandria / Borg El Arab
3200,250000,Alexandria / Borg El Arab
900,260000,Alexandria / Cairo - Alexandria Desert Road
50,4000,Alexandria / Cairo St.
60,22000,Alexandria / Camp Cesar
65,35000,Alexandria / City Light Mall
80,6000,Alexandria / El Amreya
1500,75000,Alexandria / El Amreya
80,4000,Alexandria / El Amreya
650,45000,Alexandria / El Amreya
1000,65000,Alexandria / El Amreya
80,5000,Alexandria / El Amreya
185,50000,Alexandria / El Arbaeen St.
100,50000,Alexandria / El Azarita
460,90000,Alexandria / El Baraka Compound
50,7000,Alexandria / El Bitash
310,40000,Alexandria / El Bitash
90,10000,Alexandria / El Bitash
100,3000,Alexandria / El Bitash
100,12000,Alexandria / El Bitash
100,9000,Alexandria / El Bitash
55,10000,Alexandria / El Bitash
60,5000,Alexandria / El Falki
180,15000,Alexandria / El Falki
90,3500,Alexandria / El Falki
140,6000,Alexandria / El Falki
55,5000,Alexandria / El Falki
70,4000,Alexandria / El Falki
70,45000,Alexandria / El Gaish Road
85,13000,Alexandria / El Gaish Road
125,120000,Alexandria / El Gaish Road
115,25000,Alexandria / El Gaish Road
160,80000,Alexandria / El Gaish Road
470,350000,Alexandria / El Geish Rd.
60,30000,Alexandria / El Geish Rd.
200,150000,Alexandria / El Hanouvel
200,400000,Alexandria / El Hanouvel
90,4500,Alexandria / El Hanouvel
76,22000,Alexandria / El Karma Compound
140,9000,Alexandria / El Kilo 21
62,22000,Alexandria / El Kilo 21
70,7000,Alexandria / El Kilo 21
80,5000,Alexandria / El Kilo 26
65,4500,Alexandria / El Mamoura
70,28000,Alexandria / El Mandara
180,18000,Alexandria / El Mandara Qebli
100,4000,Alexandria / El Ras El Souda
65,5500,Alexandria / El Saa'Ah Sq
300,15000,Alexandria / El Saa'Ah Sq
400,75000,Alexandria / El Saa'Ah Sq
90,3500,Alexandria / El Salam St.
50,10000,Alexandria / El Seyouf
65,4000,Alexandria / El Seyouf
550,30000,Alexandria / El Seyouf
250,30000,Alexandria / El Seyouf
110,20000,Alexandria / El Seyouf
60,10000,Alexandria / El Seyouf
63,10000,Alexandria / El Seyouf
194,80000,Alexandria / El Sultan Hussein St.
62,80000,Alexandria / El Sultan Hussein St.
75,22000,Alexandria / El Wardiyan
