Alexandria Schools — SmartCityAnalyzer,,,,,,
name,type,edu_level,latitude,longitude,operator,capacity
مدرسة أم الرب,School,,31.199726,29.921477,,
,School,,31.18927,29.906755,,
مدرسة العباسية الثانوية,School,,31.192327,29.91376,,
مدرسة الشهيد حسين طه,School,,31.309675,30.062024,,
إدارة المنتزة التعليمية,School,,31.302635,30.059966,,
Saint Vincent,School,,31.26593,29.99777,,
I Can Read Academy,School,,31.22919,29.953242,,
كلية الإقبال القومية - بنات,School,,31.25048,29.97536,,
مدرسة النوتردام دى سيون,School,,31.235789,29.962363,,
مدرسة محمد كريم,School,,31.211555,29.937782,,
,School,,31.213121,29.945587,,
مدرسة وابور المياه,School,,31.199328,29.920368,,
مدرسة الآباء الفرنسيسكان,School,,31.255672,29.979907,,
كلية الزراعة بسابا باشا,School,,31.237963,29.954549,,
مدرسة معالي سيدي بشر الجديدة MLS,School,,31.253528,29.983321,,
الشاطبي الاعداديه بنات,School,,31.210084,29.913649,,
السواحل الاعدادية و الثانوية الرياضية,School,,31.201752,29.874848,,
راس التين الثانوية بنين,School,,31.201737,29.874641,,
مدرسة المأمون الابتدائية التجريبية للغات,School,,31.19457,29.915908,,
مدرسة جرين الابتدائية الخاصة,School,,31.195192,29.915438,,
مدرسة الفريق عبد المنعم واصل الرسمية لغات,School,,31.304292,30.062341,,
الدولبة لتدريب اطقم اليخوت,School,,31.246304,29.96694,,
مدرسة الأنفوشي الثانوية - بنين,School,,31.208612,29.882271,,
مدرسة رشدي الثانوية الصناعية - بنات,School,,31.229619,29.950795,,
مدرسة عباس العقاد الإعدادية,School,,31.206852,29.937135,,
مدرسة عبد الله النديم الإعدادية,School,,31.2236,29.946809,,
مدرسة مصطفى كامل الثانوية الصناعية بنات,School,,31.223496,29.947454,,
مدرسة المقدم شريف محمد عمر,School,,31.224644,29.94743,,
مدرسة سيدي بشر الإعدادية القديمة - بنات,School,,31.257113,29.979089,,
مدرسة الصفوة,School,,31.002416,29.742666,الصفوة,
مدرسة للقبارى الاعدادية بنات,School,,31.173992,29.882505,,
مدرسة سيدي جابر الإبتدائية الرسمية,School,,31.220561,29.935649,,
مدرسة معالي الشوادفي,School,,31.240114,29.994606,,
مدرسة د. عبد القادر أبو عقادة - الرسمية - لغات,School,,31.238345,29.99654,,
معهد الإمام الحسين,School,,31.236922,30.003138,,
مدارس جمعية سيدي جابر للغات - بنين,School,,31.213374,29.943616,,
مدرسة الشهيد عباس الأعصر الإبتدائية,School,,31.215904,29.925141,,
مدرسة النجم الساطع الليبية,School,,31.229935,29.959256,,
مدرسة د. عائشة عبد الرحمن الثانوية - بنات,School,,31.238574,29.997143,,
الثلاث مدارس,School,,31.163468,29.874919,,
Saint-Vincent de Paul School,School,,31.191646,29.895017,,
Mohamed fawzy moaz school,School,,31.206317,29.933348,,
Nabil El Wakad Official Language School,School,,31.192406,29.887709,,
مدرسة حورس,School,,31.269123,30.02186,,
Sayed Darwish Primary School,School,,31.196194,29.902182,,
مدارس محمد زهران,School,,31.212562,29.94454,,
مدرسة الخنساء الإعدادية - بنات,School,,31.2124,29.944,,
,School,,30.996941,29.785545,,
Khaled Abo Ismael Official Language School,School,,31.221108,29.932132,,
,School,,31.198952,29.890703,,
,School,,31.109648,29.770268,,
,School,,31.108437,29.77282,,
مدرسة محرم بك الإعدادية - بنين,School,,31.190311,29.919619,,
الشاطبي الثانوية الميكانيكية,School,,31.204827,29.91443,,
مدرسة منهل المعرفة الثانوية بنين,School,,31.242706,29.998106,,
مدرسة النصر للبنات,School,,31.206035,29.921728,,
ليسه ليبرتيه الإسكندرية,School,,31.209918,29.919772,,
كلية سان مارك,School,,31.210584,29.917973,,
معهد سنات جان أنتيد,School,,31.208337,29.918614,,
مدرسة النصر بنين بالشاطبى,School,,31.204348,29.920363,,
مدرسة هيلانه سياج,School,,31.209505,29.916474,,
,School,,31.205462,29.952935,,
هلالية,School,,31.181783,29.965999,,
Vision,School,,31.167733,29.992802,,
Salahaldin International School,School,,31.166683,29.992621,,
مدرسة البيطاش الابتدائية,School,,31.121975,29.785936,,
DSB - المدرسة الألمانى,School,,31.191846,29.897205,,
كلية فكتوريا,School,,31.249059,29.978086,,
مدرسة جمال عبد الناصر,School,,31.249904,29.979129,,
كلية الإقبال للبنات,School,,31.250515,29.975444,,
مدرسة هدى شعراوي,School,,31.250094,29.971046,,
مدرسة الفريق علي جاد,School,,31.25711,29.992905,,
مدرسة القدس الدولية للغات (قسم الإعدادي والثانوي),School,,31.248872,30.019617,,
مدرسة القدس الدولية للغات (قسم الإبتدائي),School,,31.252278,30.018819,,
,School,,31.201203,29.874568,,
,School,,31.246909,29.972537,,
مدرسة عمرو عبدالعزيز شعير,School,,31.255093,29.986464,,
مدرسة الأندلس والحجاز الإبتدائية المشتركة,School,,31.26234,29.999829,,
مدرسة رشدي الثانوية الصناعية - بنات,School,,31.229624,29.950809,,
,School,,31.262009,29.997749,,
,School,,31.261835,29.997563,,
,School,,31.262551,29.997124,,
الكلية التكنولوجية بالاسكندرية,School,,31.210159,29.921107,,
,School,,31.208545,29.91339,,
مدرسة صقر الدولية للغات,School,,31.230966,29.996769,,
مدارس الاسكندرية للغات,School,,31.23099,29.997495,,
,School,,31.270841,30.021072,,
Alexandria International Academy,School,,31.213101,29.926678,,
,School,,30.944475,29.627339,,
,School,,30.988594,29.789478,,
,School,,31.070201,29.741307,,
,School,,31.079788,29.72034,,
