name,latitude,longitude
Carrefour Alexandria,31.167109,29.931832
زهران,31.018681,29.633283
جهاز الخدمات العامة للقوات المسلحة,31.312673,30.061271
الديب مول,31.228019,29.951704
Carrefour,31.218868,29.944491
فتح الله جملة ماركت - جناكليس,31.243805,29.969051
أسواق المدينة المنورة,31.255881,29.996503
شركة الإسكندرية للمجمعات الإستهلاكية,31.249187,29.9816
فتح الله - جاردينيا,31.246066,29.99155
كارفور,31.246068,29.993395
زهران ماركت,31.211834,29.947743
مصراوي ماركت,31.223385,29.948614
Fresh Food Market,31.245666,29.96666
فتح الله جملة ماركت - سان ستيفانو,31.24658,29.966229
بيت الحاج توفيق,31.094208,29.770918
عبد الرازق ابو العلا,31.137208,30.11522
اليكس ماركت جرين,31.194407,29.914872
اليكس ماركت زين العابدين,31.193237,29.915734
ماندو للزي الليبي,31.199473,29.893944
أسواق فتح الله للجملة,31.206196,29.879272
مدحت العطار,31.256166,29.983607
مترو,31.229776,29.95011
ألبان محمود حنفي,31.253692,29.98194
كازيون,31.252349,29.976038
شركة الإسكندرية للمجمعات الاستهلاكية​ - الكس ماركت,31.252379,29.976193
كازيون,31.253349,29.9824
اليكس ماركت - شركة الاسكندرية للمجمعات الاستهلاكية,31.240064,29.959393
اليكس ماركت,31.243757,29.970819
بيم,31.247161,29.98185
سوبرماركت زهراء السيوف,31.241267,29.997678
كازيون,31.245948,29.98934
مترو,31.239741,29.965689
كازيون,31.240743,29.991463
أسواق الشريف,31.271467,30.003099
بيت الجملة - فرع الفلكي,31.239351,30.001082
ماركت الليبي,31.238813,30.001737
ألبان الإسلامية,31.238137,30.002115
ماركت وألبان أبو زيد,31.239495,30.001138
مدينة ألبان عمار,31.241494,30.003198
محمصة الزهراء,31.238375,30.002087
أليكس ماركت,31.207204,29.882129
ألبان وماركت عمر,31.240032,29.997498
دايلي ماركت,31.217043,29.930209
سوبرماركت عبد الله,31.23741,30.000933
ألبان عمران,31.249078,29.980626
سوبرماركت أولاد الجزار,31.230068,29.999674
ألبان حجازي,31.254386,29.983914
مروان هايبر ماركت,31.237106,29.993829
بيم,31.237444,29.993281
عبد الستار الرويني وأولاده - مدينة ألبان وسوبر ماركت,31.253408,29.982019
أبو عيشة ماركت,31.246616,30.004614
أسواق فتح الله للجملة,31.207421,29.935633
فتح الله جملة ماركت - فرع فلمنج,31.232453,29.960326
خير زمان,31.220384,29.931065
بيت الجملة,31.238925,29.980145
كازيون ماركت,31.239181,29.980052
بيت الجماة,31.196081,29.893208
سوق ليبيا,31.198189,29.889354
سوق ليبي,31.238801,30.001515
,31.204151,29.90784
,31.204886,29.908739
,31.204812,29.90878
أولاد خميس,31.204569,29.909119
,31.20449,29.908153
ألبان الأمانة,31.204317,29.909271
,31.20484,29.908399
,31.20402,29.908443
,31.204967,29.908896
,31.204401,29.90871
Zahran Market,31.24207,29.965014
,31.119843,29.779386
Fatalah,31.124093,29.777439
المدينة المتورة,31.189362,29.887732
,31.190738,29.888438
,31.190062,29.888137
,31.19997,29.911784
,31.191922,29.890176
,31.190397,29.888308
,31.192089,29.886421
,31.198381,29.903666
Roshdy,31.199055,29.903385
,31.193649,29.897688
,31.200191,29.89799
,31.196997,29.897423
,31.193886,29.896986
جملة ماركت,31.195103,29.91397
,31.26573,29.988681
جملة ماركت,31.26537,29.988782
Gomla Market,31.198591,29.902261
ارجيرس,31.199216,29.895866
سوبر ماركت ٢٠٠٠,31.198708,29.894236
محسن,31.20159,29.901718
هاني,31.236431,29.969322
,31.201565,29.902377
,31.199174,29.903092
,31.198164,29.89953
طرطوسية العزه,31.199725,29.898308
اسلام مامو,31.210176,29.913885
محمود متولي,31.210438,29.913735
,31.210299,29.914463
,31.210752,29.915343
,31.20452,29.904936
نصار,31.199228,29.903835
ابو الحسن,31.202266,29.912141
جافور,31.198293,29.904588
jojo,31.198275,29.904241
ارض احمد,31.069963,29.712255
Carrefour,31.207708,29.935235
Gomla,31.213484,29.928618
Sarai Market,31.261796,29.988159
,31.265769,29.995613
,31.198387,29.909258
Bedrossian,31.198055,29.903822
سوبر ماركت الفاروق,31.246047,29.976774
Dream Market,31.197184,29.896742
Bazar Mickey,31.209027,29.913454
سامى الرجال,31.209182,29.913722
اولاد نوح,31.201556,29.901684
,31.204069,29.904673
Carrefour,31.199533,29.901619
,31.199552,29.89636
Fathalla Market,31.228227,29.943013
Bibo Bazaar,31.222141,29.934459
ماركت عربى,31.222468,29.934643
Family Market,31.223062,29.937914
Circle K,31.210887,29.913781
,31.198377,29.89459
,31.206465,29.883072
الشام,31.192013,29.90858
Rosemina,31.198799,29.920676
,31.20018,29.895204
,31.205493,29.909045
Mini Market Esaam,31.2328,29.964046
البان البوهي,31.204071,29.90467
Sarai Market,31.223942,29.95236
,31.197257,29.896892
أليكس ماركت - فرع تانيس,31.218202,29.927865
كازيون ماركت,31.218335,29.932097
,31.226278,29.938126
,31.226032,29.938145
,,
Total Records,=COUNTA(A2:A141),
Avg Latitude,=AVERAGE(B2:B141),
Scraped At,2026-05-28,
