name,latitude,longitude
الشيخ وفيق,31.203692,29.875075
كلاسيك,31.251823,29.971591
عسل نحل جواد,31.240925,29.994774
جيلاتي الرياض,31.254362,29.989255
حلواني لابوار,31.214595,29.944629
الدمنهورى,31.117718,29.787296
النظامي,31.203183,29.878804
عزة,31.199673,29.897032
مانا,31.198443,29.907906
Captain Cup,31.200292,29.898763
امير,31.194445,29.897394
كريستال,31.197963,29.898575
بريبى,31.198377,29.894092
الصعيدى,31.20139,29.901508
حلويات مصر,31.198097,29.898027
چنواز,31.199105,29.902636
Mokambo,31.199586,29.904831
Fluckiger,31.214909,29.926524
Chimney’s,31.198789,29.908734
مانا,31.217377,29.933052
Quick Candy,31.217533,29.933014
Salé Sucré,31.209155,29.913671
عزة,31.201499,29.888281
,31.208021,29.881672
,31.191421,29.904995
العصافيرى,31.192025,29.905854
,,
Total Records,=COUNTA(A2:A27),
Avg Latitude,=AVERAGE(B2:B27),
Scraped At,2026-05-15,
