Alexandria Traffic Nodes — SmartCityAnalyzer,,,,,,
node_id,latitude,longitude,district,street_count,betweenness,source
osm_652587215_31.305_30.0684,31.305001,30.068354,Abu Qir,,,overpass_live
osm_652596132_31.3051_30.0725,31.305052,30.072472,Abu Qir,,,overpass_live
osm_652587220_31.3051_30.0692,31.305065,30.069204,Abu Qir,,,overpass_live
osm_737652971_31.3051_30.0625,31.305103,30.062524,Abu Qir,,,overpass_live
osm_652596131_31.3051_30.0728,31.305115,30.072768,Abu Qir,,,overpass_live
osm_754014449_31.3051_30.0644,31.305118,30.064355,Abu Qir,,,overpass_live
osm_256067996_31.3051_30.0652,31.305135,30.065182,Abu Qir,,,overpass_live
osm_754014470_31.3052_30.0666,31.305157,30.066631,Abu Qir,,,overpass_live
osm_754014443_31.3052_30.0694,31.305176,30.069403,Abu Qir,,,overpass_live
osm_754014467_31.3052_30.0655,31.305187,30.06551,Abu Qir,,,overpass_live
osm_754014488_31.3053_30.0627,31.305257,30.062712,Abu Qir,,,overpass_live
osm_652596132_31.3053_30.0735,31.305266,30.073485,Abu Qir,,,overpass_live
osm_754014477_31.3053_30.065,31.305266,30.065031,Abu Qir,,,overpass_live
osm_754014471_31.3053_30.0668,31.305284,30.066797,Abu Qir,,,overpass_live
osm_652927093_31.3053_30.0613,31.305345,30.061338,Abu Qir,,,overpass_live
osm_652927089_31.3054_30.0629,31.305407,30.062896,Abu Qir,,,overpass_live
osm_754014466_31.3054_30.066,31.305408,30.066015,Abu Qir,,,overpass_live
osm_652587214_31.3054_30.0684,31.305412,30.06838,Abu Qir,,,overpass_live
osm_737652971_31.3055_30.0621,31.305459,30.062138,Abu Qir,,,overpass_live
osm_754014460_31.3055_30.0648,31.305487,30.064774,Abu Qir,,,overpass_live
osm_754014467_31.3055_30.0653,31.305489,30.065267,Abu Qir,,,overpass_live
osm_652596133_31.3055_30.0723,31.305497,30.072319,Abu Qir,,,overpass_live
osm_754014476_31.3055_30.0671,31.305516,30.067099,Abu Qir,,,overpass_live
osm_754014465_31.3055_30.066,31.305525,30.065955,Abu Qir,,,overpass_live
osm_652587218_31.3055_30.069,31.305537,30.068996,Abu Qir,,,overpass_live
osm_652596131_31.3056_30.0726,31.305564,30.07264,Abu Qir,,,overpass_live
osm_754014468_31.3056_30.0655,31.305591,30.065508,Abu Qir,,,overpass_live
osm_754014470_31.3056_30.0661,31.305637,30.066142,Abu Qir,,,overpass_live
osm_754014497_31.3057_30.0632,31.305684,30.063234,Abu Qir,,,overpass_live
osm_754014459_31.3057_30.0645,31.305685,30.064543,Abu Qir,,,overpass_live
osm_754014469_31.3057_30.0658,31.305721,30.065815,Abu Qir,,,overpass_live
osm_652927089_31.3057_30.0625,31.305734,30.062494,Abu Qir,,,overpass_live
osm_754014451_31.3057_30.0663,31.30575,30.066331,Abu Qir,,,overpass_live
osm_754014471_31.3058_30.0664,31.305766,30.066358,Abu Qir,,,overpass_live
osm_754014475_31.3058_30.0674,31.30577,30.067428,Abu Qir,,,overpass_live
osm_754014464_31.3058_30.0668,31.305794,30.06684,Abu Qir,,,overpass_live
osm_754014460_31.3058_30.0651,31.305822,30.065117,Abu Qir,,,overpass_live
osm_754014452_31.3059_30.0665,31.305879,30.066547,Abu Qir,,,overpass_live
osm_238899864_31.3059_30.0635,31.305902,30.063501,Abu Qir,,,overpass_live
osm_754014458_31.3059_30.0643,31.30593,30.06426,Abu Qir,,,overpass_live
osm_905466170_31.3059_30.0635,31.305946,30.063492,Abu Qir,,,overpass_live
osm_754014451_31.3059_30.0661,31.305947,30.066088,Abu Qir,,,overpass_live
osm_754014474_31.306_30.0677,31.305951,30.067664,Abu Qir,,,overpass_live
osm_754014465_31.306_30.0667,31.305961,30.066685,Abu Qir,,,overpass_live
osm_754014462_31.306_30.0672,31.305998,30.067191,Abu Qir,,,overpass_live
osm_768464491_31.306_30.0723,31.306,30.072283,Abu Qir,,,overpass_live
osm_754014463_31.306_30.0666,31.306001,30.066648,Abu Qir,,,overpass_live
osm_754014459_31.306_30.0649,31.306002,30.064894,Abu Qir,,,overpass_live
osm_905466170_31.306_30.0637,31.306002,30.063691,Abu Qir,,,overpass_live
osm_652927095_31.306_30.0619,31.306009,30.061904,Abu Qir,,,overpass_live
osm_754014497_31.306_30.0629,31.306019,30.062868,Abu Qir,,,overpass_live
osm_754014452_31.306_30.0664,31.306026,30.066388,Abu Qir,,,overpass_live
osm_754014464_31.306_30.0671,31.306041,30.067146,Abu Qir,,,overpass_live
osm_652927097_31.3061_30.0619,31.306065,30.061919,Abu Qir,,,overpass_live
