area_id,area_name,population,latitude,longitude
1,Abis,5000,31.15,29.85
2,Abu Qir,4000,31.315,30.07
3,Abu Youssef,16000,31.21,29.91
4,Ard El Sobhiya,9000,31.17,29.875
5,Attarin,20000,31.198,29.9
6,Bab El Hadid,20000,31.195,29.9
7,Borg El Arab,2000,30.91,29.53
8,Boulkly,11000,31.225,29.965
9,Camp Shezar,13500,31.207,29.92
10,Chatby,13000,31.197,29.905
11,Cleopatra,14000,31.235,29.98
12,Cleopatra Hamamat,9000,31.255,30.035
13,El Agamy,6000,31.055,29.77
14,El Anfushi,16000,31.21,29.88
15,El Asafra,10500,31.265,30.055
16,El Azarita,20000,31.195,29.905
17,El Dekhela,7000,31.155,29.85
18,El Ekbal,11000,31.21,29.945
19,El Gomrok (Bahary),22000,31.2,29.89
20,El Hadra,22000,31.185,29.895
21,El Ibrahimiya,15000,31.207,29.925
22,El Maamoura,7500,31.29,30.03
23,El Mandara,9000,31.275,30
24,El Montazah,8000,31.285,30.01
25,El Nozha,8500,31.265,30.05
26,El Shatby,14000,31.198,29.905
27,El Shotbi,19000,31.205,29.93
28,El Wardian,20000,31.185,29.885
29,Fleming,13000,31.225,29.965
30,Gleem,12000,31.225,29.965
31,Kafr Abdu,18000,31.215,29.93
32,King Mariout,3000,31.02,29.65
33,Laurent,12500,31.215,29.955
34,Louran,14000,31.205,29.935
35,Mahatet El Raml,22000,31.2,29.91
36,Mex,8500,31.16,29.855
37,Miami,10000,31.26,30.045
38,Moharram Bek,17000,31.195,29.92
39,New Borg El Arab,3500,30.895,29.525
40,Roshdy,12000,31.225,29.96
41,Saba Pasha,13500,31.22,29.955
42,San Stefano,9500,31.235,29.98
43,Sidi Bishr,11000,31.255,30.03
44,Sidi Gaber,15000,31.22,29.95
45,Sidi Salem,8000,31.27,30.05
46,Smouha,13000,31.215,29.96
47,Source,,,
48,Sporting,12000,31.22,29.955
49,Stanley,11500,31.23,29.97
50,Victoria,10000,31.25,30.02
51,Zizinia,10000,31.235,29.975
