score_id,area_id,area_name,business_type_id,category,subcategory,competitor_count,nearest_competitor_m,population,school_count,demand_index,market_saturation,suitability_score,recommended
1,1,Abis,1,Financial Services,Bank & Exchange,0,0,5000,0,5000,0,7.75,True
2,1,Abis,2,Food & Beverage,Bakery,0,0,5000,0,5000,0,7.75,True
3,1,Abis,3,Food & Beverage,Cafe,0,0,5000,0,5000,0,7.75,True
4,1,Abis,4,Food & Beverage,Ice Cream & Sweets,0,0,5000,0,5000,0,7.75,True
5,1,Abis,5,Food & Beverage,Restaurant,0,0,5000,0,5000,0,7.75,True
6,1,Abis,6,Health & Fitness,Fitness Center,0,0,5000,0,5000,0,7.75,True
7,1,Abis,7,Healthcare,Hospital & Clinic,0,0,5000,0,5000,0,7.75,True
8,1,Abis,8,Healthcare,Pharmacy,0,0,5000,0,5000,0,7.75,True
9,1,Abis,9,Retail,Clothing & Fashion,0,0,5000,0,5000,0,7.75,True
10,1,Abis,10,Retail,Supermarket & Grocery,0,0,5000,0,5000,0,7.75,True
11,1,Abis,11,Tourism & Hospitality,Hotel,0,0,5000,0,5000,0,7.75,True
12,2,Abu Qir,1,Financial Services,Bank & Exchange,0,0,4000,0,4000,0,6.8,True
13,2,Abu Qir,2,Food & Beverage,Bakery,0,0,4000,0,4000,0,6.8,True
14,2,Abu Qir,3,Food & Beverage,Cafe,0,0,4000,0,4000,0,6.8,True
15,2,Abu Qir,4,Food & Beverage,Ice Cream & Sweets,0,0,4000,0,4000,0,6.8,True
16,2,Abu Qir,5,Food & Beverage,Restaurant,0,0,4000,0,4000,0,6.8,True
17,2,Abu Qir,6,Health & Fitness,Fitness Center,0,0,4000,0,4000,0,6.8,True
18,2,Abu Qir,7,Healthcare,Hospital & Clinic,0,0,4000,0,4000,0,6.8,True
19,2,Abu Qir,8,Healthcare,Pharmacy,0,0,4000,0,4000,0,6.8,True
20,2,Abu Qir,9,Retail,Clothing & Fashion,0,0,4000,0,4000,0,6.8,True
21,2,Abu Qir,10,Retail,Supermarket & Grocery,0,0,4000,0,4000,0,6.8,True
22,2,Abu Qir,11,Tourism & Hospitality,Hotel,0,0,4000,0,4000,0,6.8,True
23,3,Abu Youssef,1,Financial Services,Bank & Exchange,0,0,16000,0,16000,0,9.4,True
24,3,Abu Youssef,2,Food & Beverage,Bakery,0,0,16000,0,16000,0,9.4,True
25,3,Abu Youssef,3,Food & Beverage,Cafe,0,0,16000,0,16000,0,9.4,True
26,3,Abu Youssef,4,Food & Beverage,Ice Cream & Sweets,0,0,16000,0,16000,0,9.4,True
27,3,Abu Youssef,5,Food & Beverage,Restaurant,0,0,16000,0,16000,0,9.4,True
28,3,Abu Youssef,6,Health & Fitness,Fitness Center,0,0,16000,0,16000,0,9.4,True
29,3,Abu Youssef,7,Healthcare,Hospital & Clinic,0,0,16000,0,16000,0,9.4,True
30,3,Abu Youssef,8,Healthcare,Pharmacy,0,0,16000,0,16000,0,9.4,True
31,3,Abu Youssef,9,Retail,Clothing & Fashion,0,0,16000,0,16000,0,9.4,True
32,3,Abu Youssef,10,Retail,Supermarket & Grocery,0,0,16000,0,16000,0,9.4,True
33,3,Abu Youssef,11,Tourism & Hospitality,Hotel,0,0,16000,0,16000,0,9.4,True
34,4,Ard El Sobhiya,1,Financial Services,Bank & Exchange,0,0,9000,0,9000,0,8.35,True
35,4,Ard El Sobhiya,2,Food & Beverage,Bakery,0,0,9000,0,9000,0,8.35,True
36,4,Ard El Sobhiya,3,Food & Beverage,Cafe,0,0,9000,0,9000,0,8.35,True
37,4,Ard El Sobhiya,4,Food & Beverage,Ice Cream & Sweets,0,0,9000,0,9000,0,8.35,True
38,4,Ard El Sobhiya,5,Food & Beverage,Restaurant,0,0,9000,0,9000,0,8.35,True
39,4,Ard El Sobhiya,6,Health & Fitness,Fitness Center,0,0,9000,0,9000,0,8.35,True
40,4,Ard El Sobhiya,7,Healthcare,Hospital & Clinic,0,0,9000,0,9000,0,8.35,True
41,4,Ard El Sobhiya,8,Healthcare,Pharmacy,0,0,9000,0,9000,0,8.35,True
42,4,Ard El Sobhiya,9,Retail,Clothing & Fashion,0,0,9000,0,9000,0,8.35,True
43,4,Ard El Sobhiya,10,Retail,Supermarket & Grocery,0,0,9000,0,9000,0,8.35,True
44,4,Ard El Sobhiya,11,Tourism & Hospitality,Hotel,0,0,9000,0,9000,0,8.35,True
45,5,Attarin,1,Financial Services,Bank & Exchange,0,0,20000,0,20000,0,10,True
46,5,Attarin,2,Food & Beverage,Bakery,0,0,20000,0,20000,0,10,True
47,5,Attarin,3,Food & Beverage,Cafe,0,0,20000,0,20000,0,10,True
48,5,Attarin,4,Food & Beverage,Ice Cream & Sweets,0,0,20000,0,20000,0,10,True
49,5,Attarin,5,Food & Beverage,Restaurant,0,0,20000,0,20000,0,10,True
50,5,Attarin,6,Health & Fitness,Fitness Center,0,0,20000,0,20000,0,10,True
51,5,Attarin,7,Healthcare,Hospital & Clinic,0,0,20000,0,20000,0,10,True
52,5,Attarin,8,Healthcare,Pharmacy,0,0,20000,0,20000,0,10,True
53,5,Attarin,9,Retail,Clothing & Fashion,0,0,20000,0,20000,0,10,True
54,5,Attarin,10,Retail,Supermarket & Grocery,0,0,20000,0,20000,0,10,True
55,5,Attarin,11,Tourism & Hospitality,Hotel,0,0,20000,0,20000,0,10,True
56,6,Bab El Hadid,1,Financial Services,Bank & Exchange,0,0,20000,0,20000,0,10,True
57,6,Bab El Hadid,2,Food & Beverage,Bakery,0,0,20000,0,20000,0,10,True
58,6,Bab El Hadid,3,Food & Beverage,Cafe,0,0,20000,0,20000,0,10,True
59,6,Bab El Hadid,4,Food & Beverage,Ice Cream & Sweets,0,0,20000,0,20000,0,10,True
60,6,Bab El Hadid,5,Food & Beverage,Restaurant,0,0,20000,0,20000,0,10,True
61,6,Bab El Hadid,6,Health & Fitness,Fitness Center,0,0,20000,0,20000,0,10,True
62,6,Bab El Hadid,7,Healthcare,Hospital & Clinic,0,0,20000,0,20000,0,10,True
63,6,Bab El Hadid,8,Healthcare,Pharmacy,0,0,20000,0,20000,0,10,True
64,6,Bab El Hadid,9,Retail,Clothing & Fashion,0,0,20000,0,20000,0,10,True
65,6,Bab El Hadid,10,Retail,Supermarket & Grocery,0,0,20000,0,20000,0,10,True
66,6,Bab El Hadid,11,Tourism & Hospitality,Hotel,0,0,20000,0,20000,0,10,True
67,7,Borg El Arab,1,Financial Services,Bank & Exchange,0,0,2000,0,2000,0,4.9,False
