fact_id,prop_id,area_id,business_type_id,category,street_name,area_sqm,rent_monthly_egp,rent_per_sqm,competitors_500m,competitors_1km,affordability_score,suitability_score,recommended
1,1,5,1,Financial Services,Alexandria / Abd El-Salam Aref St,650,220000,338.46,19,48,1.14,4.42,False
2,1,5,2,Food & Beverage,Alexandria / Abd El-Salam Aref St,650,220000,338.46,100,141,1.14,4.14,False
3,1,5,3,Food & Beverage,Alexandria / Abd El-Salam Aref St,650,220000,338.46,100,141,1.14,4.14,False
4,1,5,4,Food & Beverage,Alexandria / Abd El-Salam Aref St,650,220000,338.46,100,141,1.14,4.14,False
5,1,5,5,Food & Beverage,Alexandria / Abd El-Salam Aref St,650,220000,338.46,100,141,1.14,4.14,False
6,1,5,6,Health & Fitness,Alexandria / Abd El-Salam Aref St,650,220000,338.46,1,1,1.14,9.7,True
7,1,5,7,Healthcare,Alexandria / Abd El-Salam Aref St,650,220000,338.46,42,74,1.14,4.27,False
8,1,5,8,Healthcare,Alexandria / Abd El-Salam Aref St,650,220000,338.46,42,74,1.14,4.27,False
9,1,5,9,Retail,Alexandria / Abd El-Salam Aref St,650,220000,338.46,164,173,1.14,4.12,False
10,1,5,10,Retail,Alexandria / Abd El-Salam Aref St,650,220000,338.46,164,173,1.14,4.12,False
11,1,5,11,Tourism & Hospitality,Alexandria / Abd El-Salam Aref St,650,220000,338.46,20,29,1.14,4.69,False
12,2,5,1,Financial Services,Alexandria / Abd El-Salam Aref St,200,65000,325,19,48,1.15,4.42,False
13,2,5,2,Food & Beverage,Alexandria / Abd El-Salam Aref St,200,65000,325,100,141,1.15,4.14,False
14,2,5,3,Food & Beverage,Alexandria / Abd El-Salam Aref St,200,65000,325,100,141,1.15,4.14,False
15,2,5,4,Food & Beverage,Alexandria / Abd El-Salam Aref St,200,65000,325,100,141,1.15,4.14,False
16,2,5,5,Food & Beverage,Alexandria / Abd El-Salam Aref St,200,65000,325,100,141,1.15,4.14,False
17,2,5,6,Health & Fitness,Alexandria / Abd El-Salam Aref St,200,65000,325,1,1,1.15,9.7,True
18,2,5,7,Healthcare,Alexandria / Abd El-Salam Aref St,200,65000,325,42,74,1.15,4.27,False
19,2,5,8,Healthcare,Alexandria / Abd El-Salam Aref St,200,65000,325,42,74,1.15,4.27,False
20,2,5,9,Retail,Alexandria / Abd El-Salam Aref St,200,65000,325,164,173,1.15,4.12,False
21,2,5,10,Retail,Alexandria / Abd El-Salam Aref St,200,65000,325,164,173,1.15,4.12,False
22,2,5,11,Tourism & Hospitality,Alexandria / Abd El-Salam Aref St,200,65000,325,20,29,1.15,4.69,False
23,3,5,1,Financial Services,Alexandria / Abdel Salam Aref St.,300,120000,400,19,48,1.07,4.42,False
24,3,5,2,Food & Beverage,Alexandria / Abdel Salam Aref St.,300,120000,400,100,141,1.07,4.14,False
25,3,5,3,Food & Beverage,Alexandria / Abdel Salam Aref St.,300,120000,400,100,141,1.07,4.14,False
26,3,5,4,Food & Beverage,Alexandria / Abdel Salam Aref St.,300,120000,400,100,141,1.07,4.14,False
27,3,5,5,Food & Beverage,Alexandria / Abdel Salam Aref St.,300,120000,400,100,141,1.07,4.14,False
28,3,5,6,Health & Fitness,Alexandria / Abdel Salam Aref St.,300,120000,400,1,1,1.07,9.7,True
29,3,5,7,Healthcare,Alexandria / Abdel Salam Aref St.,300,120000,400,42,74,1.07,4.27,False
30,3,5,8,Healthcare,Alexandria / Abdel Salam Aref St.,300,120000,400,42,74,1.07,4.27,False
31,3,5,9,Retail,Alexandria / Abdel Salam Aref St.,300,120000,400,164,173,1.07,4.12,False
32,3,5,10,Retail,Alexandria / Abdel Salam Aref St.,300,120000,400,164,173,1.07,4.12,False
33,3,5,11,Tourism & Hospitality,Alexandria / Abdel Salam Aref St.,300,120000,400,20,29,1.07,4.69,False
34,4,26,1,Financial Services,Alexandria / Ademon Fremon St.,825,412500,500,23,50,1,4.28,False
35,4,26,2,Food & Beverage,Alexandria / Ademon Fremon St.,825,412500,500,50,151,1,4.09,False
36,4,26,3,Food & Beverage,Alexandria / Ademon Fremon St.,825,412500,500,50,151,1,4.09,False
37,4,26,4,Food & Beverage,Alexandria / Ademon Fremon St.,825,412500,500,50,151,1,4.09,False
38,4,26,5,Food & Beverage,Alexandria / Ademon Fremon St.,825,412500,500,50,151,1,4.09,False
39,4,26,6,Health & Fitness,Alexandria / Ademon Fremon St.,825,412500,500,1,3,1,9.7,True
40,4,26,7,Healthcare,Alexandria / Ademon Fremon St.,825,412500,500,33,71,1,4.2,False
41,4,26,8,Healthcare,Alexandria / Ademon Fremon St.,825,412500,500,33,71,1,4.2,False
42,4,26,9,Retail,Alexandria / Ademon Fremon St.,825,412500,500,48,174,1,4.08,False
43,4,26,10,Retail,Alexandria / Ademon Fremon St.,825,412500,500,48,174,1,4.08,False
44,4,26,11,Tourism & Hospitality,Alexandria / Ademon Fremon St.,825,412500,500,0,27,1,7.52,True
45,5,13,1,Financial Services,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
46,5,13,2,Food & Beverage,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
47,5,13,3,Food & Beverage,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
48,5,13,4,Food & Beverage,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
49,5,13,5,Food & Beverage,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
50,5,13,6,Health & Fitness,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
51,5,13,7,Healthcare,Alexandria / Al Agamy,100,5500,55,1,1,1.17,9.7,True
52,5,13,8,Healthcare,Alexandria / Al Agamy,100,5500,55,1,1,1.17,9.7,True
53,5,13,9,Retail,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
54,5,13,10,Retail,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
55,5,13,11,Tourism & Hospitality,Alexandria / Al Agamy,100,5500,55,0,0,1.17,10,True
56,6,13,1,Financial Services,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
57,6,13,2,Food & Beverage,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
58,6,13,3,Food & Beverage,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
59,6,13,4,Food & Beverage,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
60,6,13,5,Food & Beverage,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
61,6,13,6,Health & Fitness,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
62,6,13,7,Healthcare,Alexandria / Al Agamy,100,12000,120,1,1,0.77,8.79,True
63,6,13,8,Healthcare,Alexandria / Al Agamy,100,12000,120,1,1,0.77,8.79,True
64,6,13,9,Retail,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
65,6,13,10,Retail,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
66,6,13,11,Tourism & Hospitality,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
67,7,13,1,Financial Services,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
68,7,13,2,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
69,7,13,3,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
70,7,13,4,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
71,7,13,5,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
72,7,13,6,Health & Fitness,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
73,7,13,7,Healthcare,Alexandria / Al Agamy,50,2000,40,1,1,1.26,9.7,True
74,7,13,8,Healthcare,Alexandria / Al Agamy,50,2000,40,1,1,1.26,9.7,True
75,7,13,9,Retail,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
76,7,13,10,Retail,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
77,7,13,11,Tourism & Hospitality,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
78,8,20,1,Financial Services,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
79,8,20,2,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
80,8,20,3,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
81,8,20,4,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
82,8,20,5,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
83,8,20,6,Health & Fitness,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
84,8,20,7,Healthcare,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,6,11,1.11,7.2,True
85,8,20,8,Healthcare,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,6,11,1.11,7.2,True
86,8,20,9,Retail,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,1,1.11,10,True
87,8,20,10,Retail,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,1,1.11,10,True
88,8,20,11,Tourism & Hospitality,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
89,9,20,1,Financial Services,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
90,9,20,2,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
91,9,20,3,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
92,9,20,4,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
93,9,20,5,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
94,9,20,6,Health & Fitness,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
95,9,20,7,Healthcare,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,6,11,0.79,6.35,True
96,9,20,8,Healthcare,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,6,11,0.79,6.35,True
97,9,20,9,Retail,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,1,0.79,9.15,True
98,9,20,10,Retail,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,1,0.79,9.15,True
99,9,20,11,Tourism & Hospitality,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
100,10,16,1,Financial Services,Alexandria / El Azarita,100,50000,500,9,43,1.17,4.77,False
101,10,16,2,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
102,10,16,3,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
