prop_id,area_id,street_name,area_sqm,rent_monthly_egp,rent_per_sqm
1,5,Alexandria / Abd El-Salam Aref St,650,220000,338.46
2,5,Alexandria / Abd El-Salam Aref St,200,65000,325
3,5,Alexandria / Abdel Salam Aref St.,300,120000,400
4,26,Alexandria / Ademon Fremon St.,825,412500,500
5,13,Alexandria / Al Agamy,100,12000,120
6,13,Alexandria / Al Agamy,100,5500,55
7,13,Alexandria / Al Agamy,50,2000,40
8,20,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43
9,20,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81
10,16,Alexandria / El Azarita,100,50000,500
11,43,Alexandria / El Gaish Road,115,25000,217.39
12,43,Alexandria / El Gaish Road,70,45000,642.86
13,43,Alexandria / El Gaish Road,85,13000,152.94
14,43,Alexandria / El Gaish Road,125,120000,960
15,43,Alexandria / El Gaish Road,160,80000,500
16,43,Alexandria / El Geish Rd.,60,30000,500
17,43,Alexandria / El Geish Rd.,470,350000,744.68
18,23,Alexandria / El Mandara,70,28000,400
19,23,Alexandria / El Mandara Qebli,180,18000,100
20,43,Alexandria / El-Gaish Rd,560,325000,580.36
21,43,Alexandria / Gamal Abd El Nasir St,90,10000,111.11
22,43,Alexandria / Gamal Abd El Nasir St,50,10000,200
23,43,Alexandria / Gamal Abd El Nasir St,180,35000,194.44
24,43,Alexandria / Gamal Abd El Nasir St,50,7000,140
25,43,Alexandria / Gamal Abd El Nasir St,100,13000,130
26,43,Alexandria / Gamal Abd El Nasir St,55,15000,272.73
27,43,Alexandria / Gamal Abd El Nasir St,80,9500,118.75
28,43,Alexandria / Gamal Abd El Nasir St,240,100000,416.67
29,43,Alexandria / Gamal Abd El Nasir St,50,7500,150
30,43,Alexandria / Gamal Abd El Nasir St,55,10000,181.82
31,43,Alexandria / Gamal Abd El Nasir St,160,15000,93.75
32,43,Alexandria / Gamal Abd El Nasir St,60,9000,150
33,43,Alexandria / Gamal Abd El Nasir St,100,12000,120
34,43,Alexandria / Gamal Abd El Nasir St,300,25000,83.33
35,43,Alexandria / Gamal Abd El Nasir St,100,25000,250
36,43,Alexandria / Gamal Abd El Nasir St,110,25000,227.27
37,43,Alexandria / Gamal Abd El Nasir St,600,300000,500
38,43,Alexandria / Gamal Abd El Nasir St,120,13000,108.33
39,43,Alexandria / Gamal Abd El Nasir St,135,15000,111.11
40,43,Alexandria / Gamal Abd El Nasir St,65,6000,92.31
41,43,Alexandria / Gamal Abd El Nasir St,130,14000,107.69
42,43,Alexandria / Gamal Abd El Nasir St,60,10000,166.67
43,43,Alexandria / Gamal Abd El Nasir St,50,8000,160
44,43,Alexandria / Gamal Abdel Nasser St.,120,10000,83.33
45,43,Alexandria / Gamal Abdel Nasser St.,120,15000,125
46,43,Alexandria / Gamal Abdel Nasser St.,150,6000,40
47,43,Alexandria / Gamal Abdel Nasser St.,60,5000,83.33
48,43,Alexandria / Gamal Abdel Nasser St.,100,10000,100
49,43,Alexandria / Gamal Abdel Nasser St.,150,17000,113.33
50,43,Alexandria / Gamal Abdel Nasser St.,55,30000,545.45
