score_id,area_id,area_name,business_type_id,category,subcategory,competitor_count,nearest_competitor_m,population,demand_index,market_saturation,suitability_score,recommended
1,1,Abis,1,Financial Services,Bank & Exchange,0,0,5000,5000,0,7.75,TRUE
2,1,Abis,2,Food & Beverage,Bakery,0,0,5000,5000,0,7.75,TRUE
3,1,Abis,3,Food & Beverage,Cafe,0,0,5000,5000,0,7.75,TRUE
4,1,Abis,4,Food & Beverage,Ice Cream & Sweets,0,0,5000,5000,0,7.75,TRUE
5,1,Abis,5,Food & Beverage,Restaurant,0,0,5000,5000,0,7.75,TRUE
6,1,Abis,6,Health & Fitness,Fitness Center,0,0,5000,5000,0,7.75,TRUE
7,1,Abis,7,Healthcare,Hospital & Clinic,0,0,5000,5000,0,7.75,TRUE
8,1,Abis,8,Healthcare,Pharmacy,0,0,5000,5000,0,7.75,TRUE
9,1,Abis,9,Retail,Clothing & Fashion,0,0,5000,5000,0,7.75,TRUE
10,1,Abis,10,Retail,Supermarket & Grocery,0,0,5000,5000,0,7.75,TRUE
11,1,Abis,11,Tourism & Hospitality,Hotel,0,0,5000,5000,0,7.75,TRUE
12,2,Abu Qir,1,Financial Services,Bank & Exchange,0,0,4000,4000,0,6.8,TRUE
13,2,Abu Qir,2,Food & Beverage,Bakery,0,0,4000,4000,0,6.8,TRUE
14,2,Abu Qir,3,Food & Beverage,Cafe,0,0,4000,4000,0,6.8,TRUE
15,2,Abu Qir,4,Food & Beverage,Ice Cream & Sweets,0,0,4000,4000,0,6.8,TRUE
16,2,Abu Qir,5,Food & Beverage,Restaurant,0,0,4000,4000,0,6.8,TRUE
17,2,Abu Qir,6,Health & Fitness,Fitness Center,0,0,4000,4000,0,6.8,TRUE
18,2,Abu Qir,7,Healthcare,Hospital & Clinic,0,0,4000,4000,0,6.8,TRUE
19,2,Abu Qir,8,Healthcare,Pharmacy,0,0,4000,4000,0,6.8,TRUE
20,2,Abu Qir,9,Retail,Clothing & Fashion,0,0,4000,4000,0,6.8,TRUE
21,2,Abu Qir,10,Retail,Supermarket & Grocery,0,0,4000,4000,0,6.8,TRUE
22,2,Abu Qir,11,Tourism & Hospitality,Hotel,0,0,4000,4000,0,6.8,TRUE
23,3,Abu Youssef,1,Financial Services,Bank & Exchange,0,0,16000,16000,0,9.4,TRUE
24,3,Abu Youssef,2,Food & Beverage,Bakery,0,0,16000,16000,0,9.4,TRUE
25,3,Abu Youssef,3,Food & Beverage,Cafe,0,0,16000,16000,0,9.4,TRUE
26,3,Abu Youssef,4,Food & Beverage,Ice Cream & Sweets,0,0,16000,16000,0,9.4,TRUE
27,3,Abu Youssef,5,Food & Beverage,Restaurant,0,0,16000,16000,0,9.4,TRUE
28,3,Abu Youssef,6,Health & Fitness,Fitness Center,0,0,16000,16000,0,9.4,TRUE
29,3,Abu Youssef,7,Healthcare,Hospital & Clinic,0,0,16000,16000,0,9.4,TRUE
30,3,Abu Youssef,8,Healthcare,Pharmacy,0,0,16000,16000,0,9.4,TRUE
31,3,Abu Youssef,9,Retail,Clothing & Fashion,0,0,16000,16000,0,9.4,TRUE
32,3,Abu Youssef,10,Retail,Supermarket & Grocery,0,0,16000,16000,0,9.4,TRUE
33,3,Abu Youssef,11,Tourism & Hospitality,Hotel,0,0,16000,16000,0,9.4,TRUE
34,4,Ard El Sobhiya,1,Financial Services,Bank & Exchange,0,0,9000,9000,0,8.35,TRUE
35,4,Ard El Sobhiya,2,Food & Beverage,Bakery,0,0,9000,9000,0,8.35,TRUE
36,4,Ard El Sobhiya,3,Food & Beverage,Cafe,0,0,9000,9000,0,8.35,TRUE
37,4,Ard El Sobhiya,4,Food & Beverage,Ice Cream & Sweets,0,0,9000,9000,0,8.35,TRUE
38,4,Ard El Sobhiya,5,Food & Beverage,Restaurant,0,0,9000,9000,0,8.35,TRUE
39,4,Ard El Sobhiya,6,Health & Fitness,Fitness Center,0,0,9000,9000,0,8.35,TRUE
40,4,Ard El Sobhiya,7,Healthcare,Hospital & Clinic,0,0,9000,9000,0,8.35,TRUE
41,4,Ard El Sobhiya,8,Healthcare,Pharmacy,0,0,9000,9000,0,8.35,TRUE
42,4,Ard El Sobhiya,9,Retail,Clothing & Fashion,0,0,9000,9000,0,8.35,TRUE
43,4,Ard El Sobhiya,10,Retail,Supermarket & Grocery,0,0,9000,9000,0,8.35,TRUE
44,4,Ard El Sobhiya,11,Tourism & Hospitality,Hotel,0,0,9000,9000,0,8.35,TRUE
45,5,Attarin,1,Financial Services,Bank & Exchange,0,0,20000,20000,0,10,TRUE
46,5,Attarin,2,Food & Beverage,Bakery,0,0,20000,20000,0,10,TRUE
47,5,Attarin,3,Food & Beverage,Cafe,0,0,20000,20000,0,10,TRUE
48,5,Attarin,4,Food & Beverage,Ice Cream & Sweets,0,0,20000,20000,0,10,TRUE
49,5,Attarin,5,Food & Beverage,Restaurant,0,0,20000,20000,0,10,TRUE
50,5,Attarin,6,Health & Fitness,Fitness Center,0,0,20000,20000,0,10,TRUE
51,5,Attarin,7,Healthcare,Hospital & Clinic,0,0,20000,20000,0,10,TRUE
52,5,Attarin,8,Healthcare,Pharmacy,0,0,20000,20000,0,10,TRUE
53,5,Attarin,9,Retail,Clothing & Fashion,0,0,20000,20000,0,10,TRUE
54,5,Attarin,10,Retail,Supermarket & Grocery,0,0,20000,20000,0,10,TRUE
55,5,Attarin,11,Tourism & Hospitality,Hotel,0,0,20000,20000,0,10,TRUE
56,6,Bab El Hadid,1,Financial Services,Bank & Exchange,0,0,20000,20000,0,10,TRUE
57,6,Bab El Hadid,2,Food & Beverage,Bakery,0,0,20000,20000,0,10,TRUE
58,6,Bab El Hadid,3,Food & Beverage,Cafe,0,0,20000,20000,0,10,TRUE
59,6,Bab El Hadid,4,Food & Beverage,Ice Cream & Sweets,0,0,20000,20000,0,10,TRUE
60,6,Bab El Hadid,5,Food & Beverage,Restaurant,0,0,20000,20000,0,10,TRUE
61,6,Bab El Hadid,6,Health & Fitness,Fitness Center,0,0,20000,20000,0,10,TRUE
62,6,Bab El Hadid,7,Healthcare,Hospital & Clinic,0,0,20000,20000,0,10,TRUE
63,6,Bab El Hadid,8,Healthcare,Pharmacy,0,0,20000,20000,0,10,TRUE
64,6,Bab El Hadid,9,Retail,Clothing & Fashion,0,0,20000,20000,0,10,TRUE
65,6,Bab El Hadid,10,Retail,Supermarket & Grocery,0,0,20000,20000,0,10,TRUE
66,6,Bab El Hadid,11,Tourism & Hospitality,Hotel,0,0,20000,20000,0,10,TRUE
67,7,Borg El Arab,1,Financial Services,Bank & Exchange,0,0,2000,2000,0,4.9,FALSE
68,7,Borg El Arab,2,Food & Beverage,Bakery,0,0,2000,2000,0,4.9,FALSE
69,7,Borg El Arab,3,Food & Beverage,Cafe,0,0,2000,2000,0,4.9,FALSE
70,7,Borg El Arab,4,Food & Beverage,Ice Cream & Sweets,0,0,2000,2000,0,4.9,FALSE
71,7,Borg El Arab,5,Food & Beverage,Restaurant,0,0,2000,2000,0,4.9,FALSE
72,7,Borg El Arab,6,Health & Fitness,Fitness Center,0,0,2000,2000,0,4.9,FALSE
73,7,Borg El Arab,7,Healthcare,Hospital & Clinic,0,0,2000,2000,0,4.9,FALSE
74,7,Borg El Arab,8,Healthcare,Pharmacy,0,0,2000,2000,0,4.9,FALSE
75,7,Borg El Arab,9,Retail,Clothing & Fashion,0,0,2000,2000,0,4.9,FALSE
76,7,Borg El Arab,10,Retail,Supermarket & Grocery,0,0,2000,2000,0,4.9,FALSE
77,7,Borg El Arab,11,Tourism & Hospitality,Hotel,0,0,2000,2000,0,4.9,FALSE
78,8,Boulkly,1,Financial Services,Bank & Exchange,0,0,11000,11000,0,8.65,TRUE
79,8,Boulkly,2,Food & Beverage,Bakery,0,0,11000,11000,0,8.65,TRUE
80,8,Boulkly,3,Food & Beverage,Cafe,0,0,11000,11000,0,8.65,TRUE
81,8,Boulkly,4,Food & Beverage,Ice Cream & Sweets,0,0,11000,11000,0,8.65,TRUE
82,8,Boulkly,5,Food & Beverage,Restaurant,0,0,11000,11000,0,8.65,TRUE
83,8,Boulkly,6,Health & Fitness,Fitness Center,0,0,11000,11000,0,8.65,TRUE
84,8,Boulkly,7,Healthcare,Hospital & Clinic,0,0,11000,11000,0,8.65,TRUE
85,8,Boulkly,8,Healthcare,Pharmacy,0,0,11000,11000,0,8.65,TRUE
86,8,Boulkly,9,Retail,Clothing & Fashion,0,0,11000,11000,0,8.65,TRUE
87,8,Boulkly,10,Retail,Supermarket & Grocery,0,0,11000,11000,0,8.65,TRUE
88,8,Boulkly,11,Tourism & Hospitality,Hotel,0,0,11000,11000,0,8.65,TRUE
89,9,Camp Shezar,1,Financial Services,Bank & Exchange,0,0,13500,13500,0,9.03,TRUE
90,9,Camp Shezar,2,Food & Beverage,Bakery,0,0,13500,13500,0,9.03,TRUE
91,9,Camp Shezar,3,Food & Beverage,Cafe,0,0,13500,13500,0,9.03,TRUE
92,9,Camp Shezar,4,Food & Beverage,Ice Cream & Sweets,0,0,13500,13500,0,9.03,TRUE
