web_scraper_order,web_scraper_start_url,PharmacyName,Address,phone,Website,source_file
1772212139-1,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Balbaa Pharmacies Miami Branch,189 khaled ibn el walid st. - near to el montazah cinema,35576737.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-2,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Osama El Tayeby Pharmacies Bakoos Branch,86 el fath st. -,16840.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-3,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,El Beisy Pharmacies Semouha Branch,"7 bahaa el din el ghatwary st., off fawzy moaz st. - near to national bank of egypt",34040235.0,http://www.elbeisy.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-4,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Osama El Tayeby Pharmacies Agami Branch,66 el bitash st. -,34391346.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-5,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Ibrahim Wasef Pharmacy,107 abdel salam aref st. - beside faculty of fine arts - alexandria university,35831830.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-6,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,El Kady Pharmacy Sidi Beshr Kebly Branch,209 malak hefny st. intersection of el qahera st. -,35353424.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-7,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Mahfouz Pharmacies Glim Branch,560 el horreya rd. - inside misr petroleum gas station,35833711.0,http://www.mahfouzph.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-8,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Noha Fawzy Pharmacy,30 rd. 314 off mostafa kamel st. -,34040299.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-9,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Ashraf Mohamed Khedr Pharmacy,6 rd. 11 off rd. 45 - near to abou khaled restaurant,35330436.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-10,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Khalil Pharmacy Agami Branch,"km 16 alex matrouh desert rd. - inside agamy star mall, ground floor",34318701.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-11,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Sameh Dorry Pharmacy,29 madraset el shaimaa st. -,33240784.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-12,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Balbaa Pharmacies Victoria Branch,735 el horreya rd. -,15967.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-13,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Khalil Pharmacy Hannoville Branch,alex matrouh desert rd. - in front of agami modern school,33017548.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-14,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Amr Said El Messiry Pharmacies Sidi Beshr Branch,135 khaled ibn el walid st. - in front of hilton alexandria corniche,35716275.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-15,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Osama El Tayeby Pharmacies El Asafra Branch,404 gamal abdel nasser st. -,16840.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-16,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Dr. Mostafa Mahmoud Pharmacy,187 abou qir st. off el horreya rd. - near to gamal abdel nasser hospital,34201244.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-17,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,El Zohour Pharmacies Miami Branch,8 mostafa el nahhas st. - in front of vodafone egypt,35563232.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-18,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,Ashour Pharmacy,abou soliman st. -,35040303.0,,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-19,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,El Beisy Pharmacies Moharram Bey Branch,30 el rassafa st. - beside el modhesh restaurant,33929566.0,http://www.elbeisy.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212139-20,https://egyfinder.net/categories/en/pharmacies/alexandria?p=2,El Ezaby Pharmacies Sidi Gaber Branch,", mahattet sidi gaber sq. - inside sidi gaber railway station",34296742.0,http://www.elezabypharmacy.com/,Egyfinder pharmacy webscrape 2 .xlsx
1772212399-1,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy El Montazah Branch,"6 sheraton el montazah towers, el montaza - inside fathalla gomla market, ground floor, shop 49",35800008.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-2,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Abou Aouf Pharmacy,480 el horreya rd. -,1066999470.0,,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-3,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Osama El Tayeby Pharmacies Hannoville Branch,km 17.5 alex matrouh rd. -,34391606.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-4,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Osama El Tayeby Pharmacies Ganaklis Branch,637 el horreya rd. - near to ganaclis school secondary - boys,35775444.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-5,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,El Agzakhana Pharmacies Mostafa Kamel Branch,368 el horreya rd. - beside al ahly store egypt - asc,35217498.0,https://16343.tel/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-6,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,El Beisy Pharmacies Bahary Branch,3 ibn el sabbagh st. - in front of palace of culture,34807226.0,http://www.elbeisy.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-7,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,El Beisy Pharmacies Karmouz Branch,32 karmouz st. -,33612740.0,http://www.elbeisy.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-8,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy El Mandara Branch,386 gamal abdel nasser st. - beside abdel halim mahmoud mosque,35573260.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-9,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Aly El Attar Pharmacy,45 omar lotfy st. - near to odeon cinema,35929540.0,,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-10,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy El Seyouf Branch,"452 mostafa kamel st., magic tower - in front of city light mall",35294214.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-11,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy Sidi Beshr Branch,"109 gamal abdel nasser st., intersection of mohamed naguib st. -",35521505.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-12,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Osama El Tayeby Pharmacies Agami Branch,"alex matrouh desert rd. - gate 8, beside agamy star mall",34365444.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-13,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Osama El Tayeby Pharmacies Miami Branch,286 gamal abdel nasser st. - in front of mcdonalds,35565532.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-14,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Osama El Tayeby Pharmacies Cleopatra Branch,141 el guish rd. - in front of wave cafe,35443372.0,https://taypharmacies.com/offers/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-15,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Yousra Yousry Zakareya Pharmacy,346 abdel salam aref st. - beside taha sons stationery,33589607.0,,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-16,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy El Asafra Bahary Branch,390 malak hefni st. - beside mabaret al asafra hospital,35535351.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-17,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Khalil Pharmacy Sidi Beshr Branch,166 khaled ibn el walid st. - in front of rayan market,35491958.0,http://www.khalilpharmacies.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-18,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Helal Pharmacies El Awayed Branch,rd. 500 -,1121313133.0,,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-19,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,El Beisy Pharmacies Bahary Branch,134 ras el teen st. - beside gad specialized hospital,34800144.0,http://www.elbeisy.com/,Egyfinder pharmacy webscrape 3 .xlsx
1772212399-20,https://egyfinder.net/categories/en/pharmacies/alexandria?p=3,Dr. Othman Abdel Maged Pharmacy,el omda st. -,33823663.0,,Egyfinder pharmacy webscrape 3 .xlsx
