Intersection_ID,Latitude,Longitude,Connecting_Streets_Count
260713943,30.5774261,29.9214104,3
260713964,30.6234049,29.7883237,3
264985088,30.6552818,29.6806118,3
1157907896,30.7786634,29.8562687,3
1157907972,30.7221564,29.628273,3
1157908708,30.7787249,29.7503224,3
1157908851,30.78983,29.7933622,3
1157909052,30.7825295,29.7039226,3
1157909233,30.7687913,29.6715081,3
1157909420,30.784032,29.8496316,3
1157984776,30.7744883,29.6030045,3
1158023846,30.7783863,29.6244447,3
1158024008,30.7794641,29.7415106,3
1158024094,30.7956955,29.813244,3
1158024356,30.7636027,29.7921046,3
1158024472,30.7697291,29.6200488,3
1158024579,30.7925782,29.8011982,3
1158024581,30.7703191,29.6507814,3
1158024639,30.7619689,29.6495765,3
1158066969,30.7785872,29.7169439,3
1158067220,30.7414115,29.7407882,3
1158067232,30.7722465,29.7142578,4
1158067403,30.707521,29.614881,3
1158067498,30.7808352,29.7281368,3
1158067553,30.7120662,29.6773835,3
1158067584,30.7617941,29.6755555,3
1158067962,30.7725824,29.7229298,4
1158068036,30.7528991,29.6946028,3
1158068277,30.7669867,29.6680279,3
1158068359,30.7664018,29.629165,3
1158068436,30.7298739,29.6438412,3
1158068451,30.7816415,29.7156151,3
1158068488,30.7826847,29.702319,3
1158068545,30.7826517,29.7026834,3
1158068613,30.7852825,29.7163706,3
1158068620,30.7719733,29.6648815,3
1158068716,30.7530741,29.6944515,3
1158068890,30.7560775,29.6383265,3
1158069066,30.7761705,29.7021846,3
1158069287,30.7638454,29.6382406,3
1158069330,30.7768577,29.7132035,3
1158069493,30.7723936,29.6645562,3
1158069543,30.7246839,29.6203356,3
1158069574,30.7625997,29.6442434,3
1158187167,30.7337115,29.6487294,3
1158187552,30.7817184,29.7140935,3
1158187559,30.7226779,29.6696211,3
1158189256,30.7877764,29.8383408,3
1158250824,30.7285424,29.7503248,3
1158250825,30.7300371,29.6063733,3
1158251000,30.7484041,29.7252668,3
1158251006,30.7560653,29.72729,3
1158251046,30.7722568,29.7144966,3
1158251071,30.7312238,29.7544312,3
1158251080,30.7490303,29.7221723,3
1158251116,30.7406554,29.7483011,3
1158251324,30.734025,29.7499305,3
1158251328,30.7443854,29.7163171,3
1158251492,30.7428614,29.7235992,3
1158251502,30.7499599,29.7179459,3
1159231984,30.7858408,29.7818876,3
1166217734,30.7564684,29.6370436,3
1166217833,30.7277747,29.6122964,3
1166218363,30.7569495,29.6369725,3
1171068159,30.5769472,29.921424,3
4131648379,30.6119229,29.8213751,3
