@id,addr:housenumber,addr:postcode,addr:street,bakery,description,name,FID,opening_hours,addr:country,brand,brand:wikidata,check_date:opening_hours,cuisine,entrance,indoor_seating,official_name,outdoor_seating,phone,ref,takeaway,website,branch,internet_access,air_conditioning,capacity,check_date,source,email,fax,created_by,contact:facebook,addr:unit,contact:phone,name:ko,internet_access:fee,toilets:wheelchair,wheelchair,internet_access:ssid,addr:housename,alt_name,designation,payment:cards,payment:cash,smoking,addr:source,opening_hours:signed,indoor_seating:comfort,outdoor_seating:comfort,addr:suburb,contact:email,contact:instagram,bar,start_date,check_date:smoking,name:en,delivery,diet:gluten_free,diet:vegetarian,payment:mastercard,payment:visa,theme,changing_table,payment:credit_cards,payment:debit_cards,toilets,shop,short_name
node/419267705,901,22314,Slaters Lane,yes,One of the wonderful neighbourhood cafes that makes Old Town area so special.,Buzz Bakeshop,node/419267705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/734898575,,,,,,Eat Me Espresso Bar,node/734898575,Mo-Fr 05:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/765750824,,22314-6819,,,,Starbucks,node/765750824,"Mo-Fr 05:00-19:30; Sa,Su 06:00-18:00",US,Starbucks,Q37158,1/12/2026,coffee_shop,yes,yes,Starbucks Coffee,yes,+1 703-299-3460,6733,yes,https://www.starbucks.com/store-locator/store/6733/carlyle-center-1901-ballenger-avenue-alexandria-va-223146819-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/875506984,540,22314-2233,Pendleton Street,,,Starbucks,node/875506984,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-535-3208,7851,yes,https://www.starbucks.com/store-locator/store/7851/the-monarch-540-n-henry-street-alexandria-va-223142233-us,The Monarch,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/937396385,,,,,,,node/937396385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1472880746,,,,,,Wheels and Cupcakes,node/1472880746,,,,,,sandwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1727230067,1609,22314,King Street,,Nice neighbourhood cafe.,Uptowner Cafe,node/1727230067,Mo-Fr 06:00-16:00; Sa-Su 07:00-16:00,US,,,,coffee_shop,,yes,,yes,+1 703-836-3162,,,https://www.uptownercafe.com/,,yes,yes,30,3/24/2024,survey 1/2019;survey;website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1727275338,532,22314-3104,King Street,,,Starbucks,node/1727275338,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-836-2236,11698,yes,https://www.starbucks.com/store-locator/store/11698/532-king-street-532-king-street-alexandria-va-223143104-us,532 King Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1728146288,917,22314-3018,King Street,,Very nice neighbourhood cafe who roasts their own coffee. Also has bagels.,Misha's Coffeehouse and Roaster,node/1728146288,Mo-Sa 06:00-20:00; Su 06:30-20:00,,,,,coffee_shop,,yes,,yes,+1 703-548-4089,,,https://mishascoffee.com/,,,,,,knowledge,information@mishascoffee.com,-5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1728586646,,,,,,Patti's Gourmet Pizza and Café,node/1728586646,,,,,,,,,,,,,,,,,,,,survey,,,iLOE 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
