system:index,mean,.geo
0,13.402996358705213,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,30.999999999999968],[29.709999999999997,30.999999999999968],[29.709999999999997,31.009999999999973],[29.699999999999992,31.009999999999973],[29.699999999999992,30.999999999999968]]]}"
1,9.869988761370694,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.009999999999973],[29.709999999999997,31.009999999999973],[29.709999999999997,31.01999999999997],[29.699999999999996,31.01999999999997],[29.699999999999992,31.009999999999973]]]}"
2,8.835967180095142,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.01999999999997],[29.710000000000004,31.01999999999997],[29.710000000000004,31.029999999999973],[29.699999999999996,31.029999999999973],[29.699999999999992,31.01999999999997]]]}"
3,16.18529126,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.029999999999973],[29.710000000000004,31.029999999999973],[29.709999999999997,31.039999999999964],[29.699999999999996,31.039999999999964],[29.699999999999996,31.029999999999973]]]}"
4,40.30741376212881,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.039999999999964],[29.709999999999997,31.039999999999964],[29.710000000000004,31.049999999999972],[29.699999999999992,31.049999999999972],[29.699999999999996,31.039999999999964]]]}"
5,33.70277650685016,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.049999999999972],[29.710000000000004,31.049999999999972],[29.710000000000004,31.05999999999997],[29.699999999999996,31.05999999999997],[29.699999999999992,31.049999999999972]]]}"
6,30.563766111009954,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.05999999999997],[29.710000000000004,31.05999999999997],[29.709999999999997,31.069999999999975],[29.699999999999996,31.069999999999975],[29.699999999999996,31.05999999999997]]]}"
7,23.459526956034196,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.069999999999975],[29.709999999999997,31.069999999999975],[29.709999999999997,31.07999999999997],[29.699999999999996,31.07999999999997],[29.699999999999996,31.069999999999975]]]}"
8,8.651068833170669,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.07999999999997],[29.709999999999997,31.07999999999997],[29.709999999999997,31.089999999999968],[29.699999999999996,31.089999999999968],[29.699999999999996,31.07999999999997]]]}"
9,3.588119421821389,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.089999999999968],[29.709999999999997,31.089999999999968],[29.710000000000004,31.099999999999966],[29.699999999999996,31.099999999999966],[29.699999999999996,31.089999999999968]]]}"
10,2.574606423702421,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.099999999999966],[29.710000000000004,31.099999999999966],[29.709999999999997,31.109999999999975],[29.699999999999996,31.109999999999975],[29.699999999999996,31.099999999999966]]]}"
11,2.0637855882508838,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.109999999999967],[29.709999999999997,31.109999999999967],[29.710000000000004,31.119999999999973],[29.699999999999996,31.119999999999973],[29.699999999999996,31.109999999999967]]]}"
12,1.8217866338695148,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.119999999999973],[29.710000000000004,31.119999999999973],[29.710000000000004,31.12999999999997],[29.699999999999996,31.12999999999997],[29.699999999999996,31.119999999999973]]]}"
13,1.6586009960008572,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.129999999999967],[29.710000000000004,31.129999999999967],[29.710000000000004,31.139999999999972],[29.699999999999996,31.139999999999972],[29.699999999999996,31.129999999999967]]]}"
14,1.5021394650834112,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.139999999999972],[29.710000000000004,31.139999999999972],[29.709999999999997,31.14999999999997],[29.699999999999996,31.14999999999997],[29.699999999999996,31.139999999999972]]]}"
15,1.427304190265227,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.149999999999963],[29.709999999999997,31.149999999999963],[29.709999999999997,31.15999999999997],[29.699999999999996,31.15999999999997],[29.699999999999996,31.149999999999963]]]}"
16,1.3449017576213125,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.15999999999997],[29.709999999999997,31.15999999999997],[29.710000000000004,31.169999999999977],[29.699999999999992,31.16999999999997],[29.699999999999996,31.15999999999997]]]}"
17,1.228642518950414,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.16999999999997],[29.710000000000004,31.169999999999977],[29.709999999999997,31.179999999999975],[29.699999999999996,31.179999999999968],[29.699999999999992,31.16999999999997]]]}"
18,1.1714956432628183,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.179999999999968],[29.709999999999997,31.179999999999975],[29.709999999999997,31.18999999999997],[29.699999999999996,31.18999999999997],[29.699999999999996,31.179999999999968]]]}"
19,1.1630511433829238,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.18999999999997],[29.709999999999997,31.18999999999997],[29.710000000000004,31.19999999999998],[29.699999999999996,31.199999999999974],[29.699999999999996,31.18999999999997]]]}"
20,1.5178078900598275,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.199999999999967],[29.710000000000004,31.199999999999967],[29.709999999999997,31.209999999999965],[29.699999999999996,31.209999999999965],[29.699999999999996,31.199999999999967]]]}"
21,1.5453754418064276,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.209999999999965],[29.709999999999997,31.209999999999965],[29.709999999999997,31.219999999999974],[29.699999999999996,31.219999999999974],[29.699999999999996,31.209999999999965]]]}"
22,1.490289889122529,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.219999999999967],[29.709999999999997,31.219999999999967],[29.709999999999997,31.22999999999998],[29.699999999999996,31.22999999999998],[29.699999999999996,31.219999999999967]]]}"
23,1.5297600418517856,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.22999999999998],[29.709999999999997,31.22999999999998],[29.709999999999997,31.23999999999997],[29.699999999999996,31.23999999999997],[29.699999999999996,31.22999999999998]]]}"
24,0.9564847126603125,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.239999999999966],[29.709999999999997,31.239999999999966],[29.710000000000004,31.24999999999998],[29.699999999999996,31.24999999999997],[29.699999999999996,31.239999999999966]]]}"
25,0.7664055893126922,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.24999999999997],[29.710000000000004,31.24999999999998],[29.709999999999997,31.25999999999997],[29.699999999999996,31.25999999999997],[29.699999999999996,31.24999999999997]]]}"
26,0.7062526346667658,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.25999999999997],[29.709999999999997,31.25999999999997],[29.709999999999997,31.26999999999997],[29.699999999999992,31.26999999999997],[29.699999999999996,31.25999999999997]]]}"
27,0.6629787301393772,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.26999999999997],[29.709999999999997,31.26999999999997],[29.709999999999997,31.27999999999997],[29.699999999999996,31.27999999999997],[29.699999999999992,31.26999999999997]]]}"
28,0.6422228703211907,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.27999999999997],[29.709999999999997,31.27999999999997],[29.710000000000004,31.289999999999967],[29.699999999999992,31.289999999999967],[29.699999999999996,31.27999999999997]]]}"
29,0.6072400300066715,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.289999999999967],[29.710000000000004,31.289999999999967],[29.709999999999997,31.29999999999997],[29.699999999999996,31.29999999999997],[29.699999999999992,31.289999999999967]]]}"
30,0.584702417,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.29999999999997],[29.709999999999997,31.29999999999997],[29.710000000000004,31.309999999999974],[29.699999999999996,31.309999999999974],[29.699999999999996,31.29999999999997]]]}"
31,0.5505058223207477,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999996,31.309999999999967],[29.710000000000004,31.309999999999967],[29.709999999999997,31.31999999999997],[29.699999999999992,31.31999999999997],[29.699999999999996,31.309999999999967]]]}"
32,0.5471433313398422,"{""type"":""Polygon"",""coordinates"":[[[29.699999999999992,31.31999999999997],[29.709999999999997,31.31999999999997],[29.710000000000004,31.329999999999973],[29.699999999999996,31.329999999999973],[29.699999999999992,31.31999999999997]]]}"
