name,latitude,longitude
Queen,31.249197,29.976149
بوكسر,31.198851,29.902805
بوكسر,31.262629,29.994047
بوكسر,31.249216,29.97192
بوكسر,31.226547,29.94837
بوكسر,31.247132,29.97954
The Shop,31.249722,29.972883
جاد,31.231671,29.982698
CREDO,31.263472,29.994859
Set El Hawalem,31.225354,29.958246
حسام - ملابس كاجوال,31.239858,30.000844
سلامة للملابس الجاهزة,31.240243,30.000496
كاتي لملابس النساء,31.240047,30.000657
النجار للملابس الجاهزة,31.241587,29.999269
زارا,31.23853,30.001975
القاضي للملابس الجاهزة,31.239536,30.00094
DAIJA women's wear,31.21783,29.931535
بالي,31.25039,29.974976
سوكيت - ملابس داخلية وجوارب,31.251695,29.984744
KATCOUT,31.254096,29.988699
النجار للملابس الجاهزة,31.253371,29.983967
سلامة للملابس الجاهزة,31.243066,30.002018
أبو هندية,31.198787,29.898445
كلارك,31.198444,29.897918
Activ,31.198732,29.898781
,31.204215,29.908216
Activ,31.20683,29.964513
Favore,31.232405,29.948169
نوفوتيه السبيعى للأقمشة,31.265653,30.009611
Scarf Shop,31.263669,29.995054
No Divo,31.25902,30.019438
DEMO store,31.255489,29.978182
ابو على,31.198483,29.896323
,31.196767,29.893811
Misslele,31.199609,29.89966
فلوش,31.19916,29.899645
المعتز,31.199592,29.898448
مارلى,31.198294,29.896299
Mix Brands,31.199711,29.898657
Amigo,31.199761,29.898791
,31.199344,29.899773
Bonbon,31.199193,29.899815
Gamal,31.199882,29.911107
,31.197033,29.895127
,31.196519,29.897215
,31.196707,29.9008
,31.197437,29.900637
Défilé,31.199923,29.896941
,31.199759,29.899179
Totex,31.201783,29.900885
,31.200398,29.900144
,31.200261,29.901413
,31.199866,29.899233
Jeans Life,31.200459,29.901414
My Queen,31.199791,29.899809
Rose Carmen,31.199944,29.899991
Believe,31.200489,29.900873
Mega,31.200097,29.900102
Marilyn Monroe,31.20054,29.900279
Torino,31.199658,29.902599
محروس,31.199593,29.902659
,31.199412,29.902851
,31.200036,29.902639
,31.196434,29.897188
Cowboy,31.19875,29.897347
Sterla,31.197939,29.896932
,31.198927,29.897146
Bonjour,31.196562,29.897231
Name It,31.198619,29.897413
Melody,31.197967,29.897146
,31.195022,29.897768
قطونيل معروف,31.211692,29.996029
Tie House,31.199911,29.899633
Guitar,31.199856,29.899585
Kobup,31.199345,29.899009
Madora,31.199227,29.8989
لا شيكا,31.199279,29.898949
,31.265725,29.988963
Miss Carla,31.265847,29.989024
,31.265593,29.988871
فيلوباتير,31.265691,29.988718
مونا ليزا,31.265809,29.988764
Shaher,31.265545,29.988957
Riche,31.198401,29.898281
Hossam tex,31.197277,29.89752
Kindrz,31.198565,29.89852
Bizarre,31.198042,29.898296
Papyon,31.198037,29.900157
Paolo Rossini,31.197977,29.900075
,31.198033,29.898333
Klexy,31.198055,29.898259
Senior,31.198038,29.900611
Rozaki,31.19793,29.900004
Versatshi,31.197625,29.899696
,31.197982,29.898503
,31.198097,29.900338
Solo,31.19791,29.898705
,31.198094,29.900766
La Rose,31.198914,29.898882
Alex,31.198062,29.898215
,31.199435,29.898062
Bon & Chic,31.199247,29.897542
بوجى,31.199461,29.898252
ڤينوس,31.197913,29.89681
Lyonnais 2000,31.197954,29.897069
عبايات حذقته,31.198048,29.896025
Tie House,31.198027,29.897515
الشيخ,31.19789,29.896692
Anoosh,31.199387,29.897129
Class,31.198026,29.897575
طايع اخوان,31.197998,29.897295
فريدة,31.198045,29.897659
مكتبة المغربى الاسلامية,31.198367,29.895397
Versay,31.198011,29.896179
,31.199008,29.897023
,31.198087,29.896658
القاضى,31.199911,29.899945
Carina,31.199825,29.899839
Sara,31.199152,29.89914
Linea Pelle,31.200121,29.89984
Sport Shoes,31.200257,29.900267
Rose,31.199022,29.89902
,31.199001,29.898991
Bata,31.200033,29.901388
Black Horse Shoes,31.200045,29.900104
Rich,31.197541,29.899883
Rich,31.200159,29.899874
كوباس,31.199462,29.899156
Elnour,31.199379,29.898682
قصر الرياضة,31.201633,29.901769
Mowafy,31.197301,29.897175
,31.197332,29.897407
Silversun,31.198433,29.898323
برلنت,31.198503,29.898424
طارق خالد,31.198524,29.898459
Ship Master,31.198314,29.898171
سحر,31.198471,29.898377
مينرڤا,31.198246,29.89809
Ivacci,31.198707,29.898286
