name,latitude,longitude
نادي الفتح,31.226593,29.945837
بوابة ٨ نادي سموحة,31.2151,29.960762
أليكس جيم,31.23928,30.000869
Hammam Gym,31.261512,29.984544
Mister Gym,31.230314,29.952568
Tornado,31.209706,29.913407
Muscle Fit,31.197649,29.900542
استاد الاسكندرية الرياضي الدولي,31.197422,29.913808
النادي الأوليمبي,31.20018,29.917292
نادي سبورتنج الاسكندرية,31.215121,29.93331
استاد جامعة الإسكندرية,31.208267,29.920844
تادى الاتحاد السكندرى,31.209243,29.918208
نادي سموحة الرياضي,31.215214,29.953456
نادي الترام الرياضي,31.209136,29.915802
ملعب برج العرب,30.999853,29.729262
نادي البنك الأهلي المصري,31.246124,29.983626
World Gym,31.231518,29.944109
مركز شباب الشلالات,31.202708,29.910892
,,
Total Records,=COUNTA(A2:A19),
Avg Latitude,=AVERAGE(B2:B19),
Scraped At,2026-05-15,
