name,latitude,longitude
Tekka Grill,31.205509,29.885141
سوق السمك,31.205068,29.885485
دجاج كنتاكى,31.019402,29.633914
ماك دونالدز,31.031163,29.785364
,31.216831,29.946893
ماكدونالدز,31.218687,29.947399
زاد الخير للمأكولات السورية,31.255464,29.984926
فوف وفلافل الحريف أبو خالد,31.249394,29.980315
فول وفلافل أبو عوض,31.244717,29.966274
Mo'men,31.258415,29.981612
مسلم,31.258543,29.981649
KFC,31.265809,29.997292
أحمد محمد فول,31.200158,29.900606
Pizza Hut,31.205036,29.904605
ستوديو مصر,31.241433,29.957455
لبانيرو,31.241579,29.957294
ماكدونالدز,31.250023,29.975264
Corcovado (Jungle),31.216373,29.951236
Combo Court,31.218695,29.94824
Jeeda’s,31.196746,29.903948
فطير العمدة,31.199122,29.91769
مطعم سورى,31.218404,29.94569
عصير مكة,31.218664,29.944871
Negro Greek Sea Food,31.26674,29.990667
حلواني مانا,31.24705,29.96898
Ole,31.223115,29.957305
Roastery,31.226171,29.950423
Abo Yaser,31.251394,29.993346
جاد,31.218479,29.94464
اونباشي لار,31.199712,29.918218
ابو رياض السوري,31.21864,29.945392
بيتزا كوين,31.206032,29.964689
Gleem Court,31.240647,29.957876
قدورة,31.202215,29.88708
لاتينو Latino,31.241441,29.957308
رويال البيطاش,31.126242,29.78145
Dela Vega,31.247324,29.966779
Abou Rabeea,31.231103,29.954459
دجاج كنتاكي,31.232403,29.946134
Pizza Hut,31.232452,29.946088
جزارة محمد حامد,31.203747,29.885295
Marciano Café & Restaurant,31.232822,29.947142
الحرم,31.257768,29.982288
ابو عبده السوري,31.256014,29.983832
الريف الدمشقي,31.257976,29.98089
بيتزا هت,31.247806,29.977065
البرنس,31.255582,29.984355
حسني,31.278523,30.009786
ماكدونالدز,31.264617,29.996972
مطعم كسح,31.172751,29.882222
مطعم كوجينا ليبيانو,31.266712,29.991525
دجاج كنتاكي,31.239962,29.992607
Sophia’s Kitchen,31.199869,29.912429
Pizza Queen,31.128628,29.78134
Macdonald's,31.128454,29.780238
KFC,31.126623,29.781612
Al Malky,31.127567,29.780901
Al Noras,31.123607,29.783706
