Alexandria Traffic Edges (Roads) — SmartCityAnalyzer,,,,,,
from_node,to_node,name,length_m,speed_kph,road_type,source
31.1566_29.9357,31.1563_29.9364,الطريق الساحلى الدولى,71.5,100,Motorway,overpass_live
31.1586_29.9324,31.1566_29.9357,الطريق الساحلى الدولى,369.5,100,Motorway,overpass_live
31.1567_29.9358,31.1586_29.9325,الطريق الساحلى الدولى,369,100,Motorway,overpass_live
31.1564_29.9365,31.1567_29.9358,الطريق الساحلى الدولى,70.6,100,Motorway,overpass_live
31.1733_30.0328,31.1715_30.0267,الطريق الساحلى الدولى,570.8,100,Motorway,overpass_live
31.1714_30.0268,31.1732_30.0328,الطريق الساحلى الدولى,569.9,100,Motorway,overpass_live
31.1732_30.0328,31.1813_30.0526,الطريق الساحلى الدولى,2008.4,100,Motorway,overpass_live
31.1814_30.0526,31.1733_30.0328,الطريق الساحلى الدولى,2003,100,Motorway,overpass_live
31.2264_30.1315,31.2272_30.1391,الطريق الساحلى الدولى,683.8,100,Motorway,overpass_live
31.2149_30.1086,31.2232_30.1205,الطريق الساحلى الدولى,1406.7,100,Motorway,overpass_live
31.2273_30.1391,31.2265_30.1314,الطريق الساحلى الدولى,684,100,Motorway,overpass_live
31.1895_30.0642,31.1814_30.0526,الطريق الساحلى الدولى,1377.4,100,Motorway,overpass_live
31.1724_29.9088,31.1625_29.9278,الطريق الساحلى الدولى,2167.7,100,Motorway,overpass_live
31.1728_29.9128,31.1635_29.9271,الطريق الساحلى الدولى,2263.6,100,Motorway,overpass_live
31.2673_30.1997,31.2641_30.196,الطريق الساحلى الدولى,485.6,100,Motorway,overpass_live
31.2641_30.196,31.2478_30.1704,الطريق الساحلى الدولى,2952.9,100,Motorway,overpass_live
31.264_30.196,31.2672_30.1998,الطريق الساحلى الدولى,487,100,Motorway,overpass_live
31.3161_30.284,31.2673_30.1997,الطريق الساحلى الدولى,9428.7,100,Motorway,overpass_live
31.1909_30.0666,31.1982_30.0788,الطريق الساحلى الدولى,1361.8,100,Motorway,overpass_live
31.1813_30.0526,31.1898_30.0648,الطريق الساحلى الدولى,1431.4,100,Motorway,overpass_live
31.1983_30.0788,31.191_30.0665,الطريق الساحلى الدولى,1362.8,100,Motorway,overpass_live
31.1982_30.0788,31.1997_30.0818,الطريق الساحلى الدولى,315.6,100,Motorway,overpass_live
31.1998_30.0818,31.1983_30.0788,الطريق الساحلى الدولى,314.5,100,Motorway,overpass_live
31.1715_30.0267,31.1626_29.9987,الطريق الساحلى الدولى,2693.5,100,Motorway,overpass_live
