node_id,latitude,longitude,district,street_count,betweenness,source
osm_652587215_31.305_30.0684,31.305001,30.068354,Abu Qir,,,overpass_live
osm_652596132_31.3051_30.0725,31.305052,30.072472,Abu Qir,,,overpass_live
osm_652587220_31.3051_30.0692,31.305065,30.069204,Abu Qir,,,overpass_live
osm_652596131_31.3051_30.0728,31.305115,30.072768,Abu Qir,,,overpass_live
osm_256067996_31.3051_30.0652,31.305135,30.065182,Abu Qir,,,overpass_live
osm_652596132_31.3053_30.0735,31.305266,30.073485,Abu Qir,,,overpass_live
osm_652927093_31.3053_30.0613,31.305345,30.061338,Abu Qir,,,overpass_live
osm_652927089_31.3054_30.0629,31.305407,30.062896,Abu Qir,,,overpass_live
osm_652587214_31.3054_30.0684,31.305412,30.06838,Abu Qir,,,overpass_live
osm_652596133_31.3055_30.0723,31.305497,30.072319,Abu Qir,,,overpass_live
osm_652587218_31.3055_30.069,31.305537,30.068996,Abu Qir,,,overpass_live
osm_652596131_31.3056_30.0726,31.305564,30.07264,Abu Qir,,,overpass_live
osm_652927089_31.3057_30.0625,31.305734,30.062494,Abu Qir,,,overpass_live
osm_238899864_31.3059_30.0635,31.305902,30.063501,Abu Qir,,,overpass_live
osm_652927095_31.306_30.0619,31.306009,30.061904,Abu Qir,,,overpass_live
osm_652927097_31.3061_30.0619,31.306065,30.061919,Abu Qir,,,overpass_live
osm_173219507_31.3062_30.0663,31.306223,30.06632,Abu Qir,,,overpass_live
osm_652927100_31.3062_30.0608,31.306227,30.060772,Abu Qir,,,overpass_live
osm_652927096_31.3062_30.0607,31.306243,30.060688,Abu Qir,,,overpass_live
osm_238899863_31.3063_30.0632,31.306329,30.063247,Abu Qir,,,overpass_live
osm_173219512_31.3064_30.0668,31.306404,30.06678,Abu Qir,,,overpass_live
osm_652587235_31.3064_30.0682,31.306438,30.068184,Abu Qir,,,overpass_live
osm_652818126_31.3065_30.0638,31.306497,30.063766,Abu Qir,,,overpass_live
osm_652818126_31.3068_30.0642,31.306784,30.064239,Abu Qir,,,overpass_live
osm_652927093_31.3069_30.0621,31.306887,30.062129,Abu Qir,,,overpass_live
osm_652927094_31.307_30.0601,31.306964,30.060061,Abu Qir,,,overpass_live
osm_690494815_31.3071_30.0642,31.307071,30.064164,Abu Qir,,,overpass_live
osm_173219507_31.3071_30.065,31.307092,30.064965,Abu Qir,,,overpass_live
osm_552793437_31.3071_30.0723,31.307149,30.072299,Abu Qir,,,overpass_live
osm_652927096_31.3072_30.061,31.307197,30.060993,Abu Qir,,,overpass_live
osm_173219512_31.3076_30.0658,31.307571,30.065781,Abu Qir,,,overpass_live
osm_221995546_31.3076_30.0652,31.307598,30.065181,Abu Qir,,,overpass_live
osm_652587239_31.3078_30.0635,31.307824,30.063466,Abu Qir,,,overpass_live
osm_652032080_31.3079_30.0661,31.307864,30.06611,Abu Qir,,,overpass_live
osm_652363147_31.3079_30.0626,31.307896,30.06264,Abu Qir,,,overpass_live
osm_652032078_31.3079_30.07,31.307925,30.069982,Abu Qir,,,overpass_live
osm_256067999_31.3079_30.0651,31.307942,30.065126,Abu Qir,,,overpass_live
osm_652363149_31.308_30.0625,31.307956,30.062451,Abu Qir,,,overpass_live
osm_172916714_31.308_30.0624,31.307967,30.062411,Abu Qir,,,overpass_live
osm_652032073_31.3081_30.0665,31.308055,30.066477,Abu Qir,,,overpass_live
osm_652587239_31.3081_30.0633,31.308111,30.063275,Abu Qir,,,overpass_live
osm_690514731_31.3081_30.0618,31.308136,30.061838,Abu Qir,,,overpass_live
osm_652032073_31.3081_30.0669,31.30814,30.066882,Abu Qir,,,overpass_live
osm_652363147_31.3082_30.0632,31.308195,30.063194,Abu Qir,,,overpass_live
osm_221995557_31.3082_30.0632,31.308201,30.063215,Abu Qir,,,overpass_live
osm_256073734_31.3082_30.0633,31.308246,30.063261,Abu Qir,,,overpass_live
osm_652927106_31.3083_30.0613,31.308259,30.061343,Abu Qir,,,overpass_live
osm_256073736_31.3083_30.0633,31.308275,30.063266,Abu Qir,,,overpass_live
osm_652363149_31.3083_30.0631,31.308305,30.063082,Abu Qir,,,overpass_live
osm_652927108_31.3083_30.0609,31.308312,30.060852,Abu Qir,,,overpass_live
osm_221995541_31.3083_30.0631,31.308331,30.063102,Abu Qir,,,overpass_live
osm_652104115_31.3083_30.0648,31.308331,30.064829,Abu Qir,,,overpass_live
osm_652927109_31.3085_30.0603,31.308453,30.06028,Abu Qir,,,overpass_live
osm_256068004_31.3085_30.0628,31.308458,30.062826,Abu Qir,,,overpass_live
osm_256067999_31.3085_30.0661,31.308493,30.066064,Abu Qir,,,overpass_live
