business_type_id,category,subcategory,service_type
1,Financial Services,Bank & Exchange,Bank
2,Food & Beverage,Bakery,Bakery
3,Food & Beverage,Cafe,Cafe
4,Food & Beverage,Ice Cream & Sweets,Sweets Shop
5,Food & Beverage,Restaurant,Restaurant
6,Health & Fitness,Fitness Center,Gym
7,Healthcare,Hospital & Clinic,Healthcare Facility
8,Healthcare,Pharmacy,Pharmacy
9,Retail,Clothing & Fashion,Fashion Store
10,Retail,Supermarket & Grocery,Supermarket
11,Tourism & Hospitality,Hotel,Hotel
12,Education,Education Center,Education Center
